sec,secHelpText,group_id,rst_ID,rst_RecTypeID,rst_DetailTypeID,rst_DisplayName,rst_DisplayHelpText,rst_DisplayExtendedDescription,rst_DisplayOrder,rst_DisplayWidth,rst_DisplayHeight,rst_DefaultValue,rst_RecordMatchOrder,rst_CalcFunctionID,rst_CalcFieldMask,rst_RequirementType,rst_NonOwnerVisibility,rst_Status,rst_MayModify,rst_OriginatingDBID,rst_IDInOriginatingDB,rst_MaxValues,rst_MinValues,rst_InitialRepeats,rst_DisplayDetailTypeGroupID,rst_FilteredJsonTermIDTree,rst_PtrFilteredIDs,rst_CreateChildIfRecPtr,rst_PointerMode,rst_PointerBrowseFilter,rst_OrderForThumbnailGeneration,rst_TermIDTreeNonSelectableIDs,rst_ShowDetailCertainty,rst_ShowDetailAnnotation,rst_NumericLargestValueUsed,rst_EntryMask,rst_Modified,rst_LocallyModified,rst_SemanticReferenceURL,rst_TermsAsButtons,rty_ID,rty_Name,rty_OrderInGroup,rty_Description,rty_TitleMask,rty_CanonicalTitleMask,rty_Plural,rty_Status,rty_OriginatingDBID,rty_NameInOriginatingDB,rty_IDInOriginatingDB,rty_NonOwnerVisibility,rty_ShowInLists,rty_RecTypeGroupID,rty_RecTypeModelIDs,rty_FlagAsFieldset,rty_ReferenceURL,rty_AlternativeRecEditor,rty_Type,rty_ShowURLOnEditForm,rty_ShowDescriptionOnEditForm,rty_Modified,rty_LocallyModified,dty_ID,dty_Name,dty_Documentation,dty_Type,dty_HelpText,dty_ExtendedDescription,dty_EntryMask,dty_Status,dty_OriginatingDBID,dty_NameInOriginatingDB,dty_IDInOriginatingDB,dty_DetailTypeGroupID,dty_OrderInGroup,dty_JsonTermIDTree,dty_TermIDTreeNonSelectableIDs,dty_PtrTargetRectypeIDs,dty_FieldSetRectypeID,dty_ShowInLists,dty_NonOwnerVisibility,dty_Modified,dty_LocallyModified,dty_SemanticReferenceURL,trm_TreeID,trm_Label,trm_Description,n_vocabTerms,vocabTerms
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3806,125,57,Label Components,Data fields that also help human users search for and recognize this record in the database.,,0,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 17:27:00,0,,false,125,part,0,"An undivided subdivision of a witness\'s text, such as a fragment, an uninterrupted sequence of pages, or a volume. The subdivision must have an order within the witness. If a witness\'s text is not subdivided, its only div is given the ordinal of 1.",[[[1322]]] [1315.rectitle],160,parts,open,0,part,125,viewable,true,23,,false,,,normal,false,true,2025-01-22 18:22:30,false,57,Header 1,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 1,57,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3862,125,1315,is_inscribed_on,The physical document on which the signs (letters) of a witness\'s parts are inscribed.,,1,100,3,,0,,,required,public,open,open,0,,1,0,1,,,,false,addorbrowse,,,,false,false,,,2024-10-21 15:12:06,0,,false,125,part,0,"An undivided subdivision of a witness\'s text, such as a fragment, an uninterrupted sequence of pages, or a volume. The subdivision must have an order within the witness. If a witness\'s text is not subdivided, its only div is given the ordinal of 1.",[[[1322]]] [1315.rectitle],160,parts,open,0,part,125,viewable,true,23,,false,,,normal,false,true,2025-01-22 18:22:30,false,1315,is_inscribed_on,Please document the nature of this detail type (field)) ...,resource,The physical document on which the signs (letters) of a witness\'s parts are inscribed.,,,open,0,is_inscribed_on,1315,1,0,,[],[106],,true,viewable,2024-09-05 17:29:15,false,,,,,,
Locus,Data fields about the literary content represented on the pages.,2,3807,125,58,Locus,Data fields about the literary content represented on the pages.,,3,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-21 15:43:06,0,,false,125,part,0,"An undivided subdivision of a witness\'s text, such as a fragment, an uninterrupted sequence of pages, or a volume. The subdivision must have an order within the witness. If a witness\'s text is not subdivided, its only div is given the ordinal of 1.",[[[1322]]] [1315.rectitle],160,parts,open,0,part,125,viewable,true,23,,false,,,normal,false,true,2025-01-22 18:22:30,false,58,Header 2,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 2,58,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Locus,Data fields about the literary content represented on the pages.,2,3863,125,1316,div_order,"Order of the text subdivision within the witness. Start counting at 1. If the witness is not subdivided, enter 1. <br>Property <a target=\""_blank\"" href=\""https://www.wikidata.org/wiki/Property:P1545\"">P1545</a>",,4,3,3,,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-21 17:44:56,0,https://www.wikidata.org/wiki/Property:P1545,false,125,part,0,"An undivided subdivision of a witness\'s text, such as a fragment, an uninterrupted sequence of pages, or a volume. The subdivision must have an order within the witness. If a witness\'s text is not subdivided, its only div is given the ordinal of 1.",[[[1322]]] [1315.rectitle],160,parts,open,0,part,125,viewable,true,23,,false,,,normal,false,true,2025-01-22 18:22:30,false,1316,div_order,Please document the nature of this detail type (field)) ...,float,"Order of the text subdivision within the witness. Start counting at 1. If the witness is not subdivided, enter 1. <br>Property <a target=\""_blank\"" href=\""https://www.wikidata.org/wiki/Property:P1545\"">P1545</a>",,,open,0,order_in_series,1316,1,0,,[],[],,true,viewable,2024-10-21 17:44:58,false,https://www.wikidata.org/wiki/Property:P1545,,,,,
Locus,Data fields about the literary content represented on the pages.,2,3864,125,1317,number_of_verses,"To be compared with the \""verse length\"" of the representative text, the number of verses or lines from the text represented on this part of the witness.",,5,10,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 19:07:50,0,,false,125,part,0,"An undivided subdivision of a witness\'s text, such as a fragment, an uninterrupted sequence of pages, or a volume. The subdivision must have an order within the witness. If a witness\'s text is not subdivided, its only div is given the ordinal of 1.",[[[1322]]] [1315.rectitle],160,parts,open,0,part,125,viewable,true,23,,false,,,normal,false,true,2025-01-22 18:22:30,false,1317,number_of_verses,Please document the nature of this detail type (field)) ...,float,"To be compared with the \""verse length\"" of the representative text, the number of verses or lines from the text represented on this part of the witness.",,,open,0,number_of_verses,1317,1,0,,[],[],,true,viewable,2024-09-05 17:31:26,false,,,,,,
Locus,Data fields about the literary content represented on the pages.,2,3865,125,1318,part_of_text,"A simple description of the portion of the text, i.e. \""first third,\"" represented on this part of the witness.",,6,30,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 19:07:50,0,,false,125,part,0,"An undivided subdivision of a witness\'s text, such as a fragment, an uninterrupted sequence of pages, or a volume. The subdivision must have an order within the witness. If a witness\'s text is not subdivided, its only div is given the ordinal of 1.",[[[1322]]] [1315.rectitle],160,parts,open,0,part,125,viewable,true,23,,false,,,normal,false,true,2025-01-22 18:22:30,false,1318,part_of_text,Please document the nature of this detail type (field)) ...,freetext,"A simple description of the portion of the text, i.e. \""first third,\"" represented on this part of the witness.",,,open,0,part_of_text,1318,1,0,,[],[],,true,viewable,2024-09-05 17:32:09,false,,,,,,
Locus,Data fields about the literary content represented on the pages.,2,3866,125,1319,volume_number,"If the witness is composed of multiple volumes, the integer, roman numeral, or other indicator used by archival or library catalogues to identify the part as a volume of the witness.",,7,30,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 19:07:50,0,,false,125,part,0,"An undivided subdivision of a witness\'s text, such as a fragment, an uninterrupted sequence of pages, or a volume. The subdivision must have an order within the witness. If a witness\'s text is not subdivided, its only div is given the ordinal of 1.",[[[1322]]] [1315.rectitle],160,parts,open,0,part,125,viewable,true,23,,false,,,normal,false,true,2025-01-22 18:22:30,false,1319,volume_number,Please document the nature of this detail type (field)) ...,freetext,"If the witness is composed of multiple volumes, the integer, roman numeral, or other indicator used by archival or library catalogues to identify the part as a volume of the witness.",,,open,0,volume_number,1319,1,0,,[],[],,true,viewable,2024-09-05 17:34:24,false,,,,,,
Extent,Data fields about the physical attributes of the pages.,3,3808,125,69,Extent,Data fields about the physical attributes of the pages.,,8,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 19:07:50,0,,false,125,part,0,"An undivided subdivision of a witness\'s text, such as a fragment, an uninterrupted sequence of pages, or a volume. The subdivision must have an order within the witness. If a witness\'s text is not subdivided, its only div is given the ordinal of 1.",[[[1322]]] [1315.rectitle],160,parts,open,0,part,125,viewable,true,23,,false,,,normal,false,true,2025-01-22 18:22:30,false,69,Header 3,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 3,69,139,0,,[],[],0,false,viewable,2021-12-31 05:59:45,true,,,,,,
Extent,Data fields about the physical attributes of the pages.,3,3936,125,1357,physical_description,"Description of the support, decorations, layout, and script type.",,9,100,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,addorbrowse,,,,false,false,,,2025-04-25 14:31:04,0,,false,125,part,0,"An undivided subdivision of a witness\'s text, such as a fragment, an uninterrupted sequence of pages, or a volume. The subdivision must have an order within the witness. If a witness\'s text is not subdivided, its only div is given the ordinal of 1.",[[[1322]]] [1315.rectitle],160,parts,open,0,part,125,viewable,true,23,,false,,,normal,false,true,2025-01-22 18:22:30,false,1357,physical_description,Please document the nature of this detail type (field)) ...,resource,"Description of the support, decorations, layout, and script type.",,,open,0,physical_description,1357,1,0,,[],[129],,true,viewable,2024-10-21 15:09:07,false,,,,,,
Extent,Data fields about the physical attributes of the pages.,3,3867,125,1320,number_of_lines,The length of the text as calculated by the number of lines.,,10,10,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-21 15:09:07,0,,false,125,part,0,"An undivided subdivision of a witness\'s text, such as a fragment, an uninterrupted sequence of pages, or a volume. The subdivision must have an order within the witness. If a witness\'s text is not subdivided, its only div is given the ordinal of 1.",[[[1322]]] [1315.rectitle],160,parts,open,0,part,125,viewable,true,23,,false,,,normal,false,true,2025-01-22 18:22:30,false,1320,number_of_lines,Please document the nature of this detail type (field)) ...,float,The length of the text as calculated by the number of lines.,,,open,0,number_of_lines,1320,1,0,,[],[],,true,viewable,2024-09-05 17:35:21,false,,,,,,
