sec,secHelpText,group_id,rst_ID,rst_RecTypeID,rst_DetailTypeID,rst_DisplayName,rst_DisplayHelpText,rst_DisplayExtendedDescription,rst_DisplayOrder,rst_DisplayWidth,rst_DisplayHeight,rst_DefaultValue,rst_RecordMatchOrder,rst_CalcFunctionID,rst_CalcFieldMask,rst_RequirementType,rst_NonOwnerVisibility,rst_Status,rst_MayModify,rst_OriginatingDBID,rst_IDInOriginatingDB,rst_MaxValues,rst_MinValues,rst_InitialRepeats,rst_DisplayDetailTypeGroupID,rst_FilteredJsonTermIDTree,rst_PtrFilteredIDs,rst_CreateChildIfRecPtr,rst_PointerMode,rst_PointerBrowseFilter,rst_OrderForThumbnailGeneration,rst_TermIDTreeNonSelectableIDs,rst_ShowDetailCertainty,rst_ShowDetailAnnotation,rst_NumericLargestValueUsed,rst_EntryMask,rst_Modified,rst_LocallyModified,rst_SemanticReferenceURL,rst_TermsAsButtons,rty_ID,rty_Name,rty_OrderInGroup,rty_Description,rty_TitleMask,rty_CanonicalTitleMask,rty_Plural,rty_Status,rty_OriginatingDBID,rty_NameInOriginatingDB,rty_IDInOriginatingDB,rty_NonOwnerVisibility,rty_ShowInLists,rty_RecTypeGroupID,rty_RecTypeModelIDs,rty_FlagAsFieldset,rty_ReferenceURL,rty_AlternativeRecEditor,rty_Type,rty_ShowURLOnEditForm,rty_ShowDescriptionOnEditForm,rty_Modified,rty_LocallyModified,dty_ID,dty_Name,dty_Documentation,dty_Type,dty_HelpText,dty_ExtendedDescription,dty_EntryMask,dty_Status,dty_OriginatingDBID,dty_NameInOriginatingDB,dty_IDInOriginatingDB,dty_DetailTypeGroupID,dty_OrderInGroup,dty_JsonTermIDTree,dty_TermIDTreeNonSelectableIDs,dty_PtrTargetRectypeIDs,dty_FieldSetRectypeID,dty_ShowInLists,dty_NonOwnerVisibility,dty_Modified,dty_LocallyModified,dty_SemanticReferenceURL,trm_TreeID,trm_Label,trm_Description,n_vocabTerms,vocabTerms
Primary information,,1,2279,12,57,Primary information,,,0,0,3,tabs,0,0,,optional,public,open,open,2,2279,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,12,Place,0,"A simplified record for a Place, for routine use eg. for site location, place of birth, place of publication. Use Place (detailed) where more information is needed.","[2-1], [1232] ([2-26.term])",[1],Places,reserved,3,Place,1009,viewable,true,21,,false,,,normal,false,true,2024-07-02 11:15:25,true,57,Header 1,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 1,57,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Primary information,,1,1746,12,1,place_name,"Commonly used name of the place. Do not abbreviate or use hierarchichal naming (put that under country, state etc.)",,1,60,3,,0,0,,required,public,open,open,3,2274,1,1,1,1,,,false,dropdown_add,,0,,false,false,0,,2024-08-23 15:27:37,1,,false,12,Place,0,"A simplified record for a Place, for routine use eg. for site location, place of birth, place of publication. Use Place (detailed) where more information is needed.","[2-1], [1232] ([2-26.term])",[1],Places,reserved,3,Place,1009,viewable,true,21,,false,,,normal,false,true,2024-07-02 11:15:25,true,1,place_name,Name or phrase used to identify the represented object/entity,freetext,"Commonly used name of the place. Do not abbreviate or use hierarchichal naming (put that under country, state etc.)",,,reserved,2,Name,1,1,0,,[],[],0,true,viewable,2024-08-23 15:27:48,true,,,,,,
Primary information,,1,3593,12,1232,administrative_region,"If the Place is a City, the name of the state, province, or department in which a city is located.",,2,60,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-08-23 15:33:22,0,,false,12,Place,0,"A simplified record for a Place, for routine use eg. for site location, place of birth, place of publication. Use Place (detailed) where more information is needed.","[2-1], [1232] ([2-26.term])",[1],Places,reserved,3,Place,1009,viewable,true,21,,false,,,normal,false,true,2024-07-02 11:15:25,true,1232,administrative_region,Please document the nature of this detail type (field)) ...,freetext,"If the Place is a City, the name of the state, province, or department in which a city is located.",,,open,0,State or Province or Department,1232,1,0,,[],[],,true,viewable,2024-08-23 15:26:17,false,,,,,,
Primary information,,1,1752,12,26,country,"Country. The list is prepopulated, but can be extended, and includes 2 and 3 letter country codes",,3,60,3,,0,0,,recommended,public,approved,open,3,2285,1,0,1,1,,,false,dropdown_add,,0,,false,false,0,,2024-08-23 15:33:22,1,,false,12,Place,0,"A simplified record for a Place, for routine use eg. for site location, place of birth, place of publication. Use Place (detailed) where more information is needed.","[2-1], [1232] ([2-26.term])",[1],Places,reserved,3,Place,1009,viewable,true,21,,false,,,normal,false,true,2024-07-02 11:15:25,true,26,country,Term identifying the country associated with the object/entity,enum,"Country. The list is prepopulated, but can be extended, and includes 2 and 3 letter country codes",,,reserved,2,Country,26,114,0,509,[],[],0,true,viewable,2024-08-23 15:25:53,true,,509,Country,,255,"{Australia={'description': NULL, 'url': NULL, 'id': 108}, China={'description': NULL, 'url': NULL, 'id': 109}, France={'description': NULL, 'url': NULL, 'id': 110}, Greece={'description': NULL, 'url': NULL, 'id': 111}, Italy={'description': NULL, 'url': NULL, 'id': 112}, Spain={'description': NULL, 'url': NULL, 'id': 113}, Cambodia={'description': NULL, 'url': NULL, 'id': 114}, Vietnam={'description': NULL, 'url': NULL, 'id': 115}, Thailand={'description': NULL, 'url': NULL, 'id': 116}, New Zealand={'description': NULL, 'url': NULL, 'id': 117}, United Kingdom={'description': NULL, 'url': NULL, 'id': 118}, United States={'description': NULL, 'url': NULL, 'id': 119}, Cyprus={'description': NULL, 'url': NULL, 'id': 160}, Jordan={'description': NULL, 'url': NULL, 'id': 161}, United Arab Emirates={'description': NULL, 'url': NULL, 'id': 162}, Uzbekistan={'description': NULL, 'url': NULL, 'id': 163}, Kyrgistan={'description': NULL, 'url': NULL, 'id': 164}, Dubai={'description': NULL, 'url': NULL, 'id': 165}, Israel={'description': NULL, 'url': NULL, 'id': 166}, Iran={'description': NULL, 'url': NULL, 'id': 167}, Iraq={'description': NULL, 'url': NULL, 'id': 168}, Syria={'description': NULL, 'url': NULL, 'id': 169}, Türkiye={'description': NULL, 'url': NULL, 'id': 170}, Myanmar={'description': NULL, 'url': NULL, 'id': 171}, India={'description': NULL, 'url': NULL, 'id': 172}, Singapore={'description': NULL, 'url': NULL, 'id': 173}, Norway={'description': NULL, 'url': NULL, 'id': 177}, Netherlands={'description': NULL, 'url': NULL, 'id': 178}, South Africa={'description': NULL, 'url': NULL, 'id': 179}, Canada={'description': NULL, 'url': NULL, 'id': 180}, Ireland={'description': NULL, 'url': NULL, 'id': 181}, Germany={'description': NULL, 'url': NULL, 'id': 182}, Hungary={'description': NULL, 'url': NULL, 'id': 183}, Belgium={'description': NULL, 'url': NULL, 'id': 184}, Brazil={'description': NULL, 'url': NULL, 'id': 185}, Sweden={'description': NULL, 'url': NULL, 'id': 186}, Denmark={'description': NULL, 'url': NULL, 'id': 195}, Taiwan={'description': NULL, 'url': NULL, 'id': 198}, Afghanistan={'description': NULL, 'url': NULL, 'id': 204}, Aland Islands={'description': NULL, 'url': NULL, 'id': 205}, Albania={'description': NULL, 'url': NULL, 'id': 206}, Algeria={'description': NULL, 'url': NULL, 'id': 207}, American Samoa={'description': NULL, 'url': NULL, 'id': 208}, Andorra={'description': NULL, 'url': NULL, 'id': 209}, Angola={'description': NULL, 'url': NULL, 'id': 210}, Anguilla={'description': NULL, 'url': NULL, 'id': 211}, Antarctica={'description': NULL, 'url': NULL, 'id': 212}, Antigua and Barbuda={'description': NULL, 'url': NULL, 'id': 213}, Argentina={'description': NULL, 'url': NULL, 'id': 214}, Armenia={'description': NULL, 'url': NULL, 'id': 215}, Aruba={'description': NULL, 'url': NULL, 'id': 216}, Austria={'description': NULL, 'url': NULL, 'id': 217}, Azerbaijan={'description': NULL, 'url': NULL, 'id': 218}, Bahamas={'description': NULL, 'url': NULL, 'id': 219}, Bahrain={'description': NULL, 'url': NULL, 'id': 220}, Bangladesh={'description': NULL, 'url': NULL, 'id': 221}, Barbados={'description': NULL, 'url': NULL, 'id': 222}, Belarus={'description': NULL, 'url': NULL, 'id': 223}, Belize={'description': NULL, 'url': NULL, 'id': 224}, Benin={'description': NULL, 'url': NULL, 'id': 225}, Bermuda={'description': NULL, 'url': NULL, 'id': 226}, Bhutan={'description': NULL, 'url': NULL, 'id': 227}, Bolivia={'description': NULL, 'url': NULL, 'id': 228}, Bosnia and Herzegovina={'description': NULL, 'url': NULL, 'id': 229}, Botswana={'description': NULL, 'url': NULL, 'id': 230}, Bouvet Island={'description': NULL, 'url': NULL, 'id': 231}, British Indian Ocean Territory={'description': NULL, 'url': NULL, 'id': 232}, Brunei Darussalam={'description': NULL, 'url': NULL, 'id': 233}, Bulgaria={'description': NULL, 'url': NULL, 'id': 234}, Burkina Faso={'description': NULL, 'url': NULL, 'id': 235}, Burundi={'description': NULL, 'url': NULL, 'id': 236}, Cameroon={'description': NULL, 'url': NULL, 'id': 237}, Cabo Verde={'description': NULL, 'url': NULL, 'id': 238}, Cayman Islands={'description': NULL, 'url': NULL, 'id': 239}, Central African Republic={'description': NULL, 'url': NULL, 'id': 240}, Chad={'description': NULL, 'url': NULL, 'id': 241}, Chile={'description': NULL, 'url': NULL, 'id': 242}, Christmas Island={'description': NULL, 'url': NULL, 'id': 243}, 'Cocos (Keeling) Islands'={'description': NULL, 'url': NULL, 'id': 244}, Colombia={'description': NULL, 'url': NULL, 'id': 245}, Comoros={'description': NULL, 'url': NULL, 'id': 246}, Congo={'description': NULL, 'url': NULL, 'id': 247}, 'Congo, Dem. Rep. of the'={'description': NULL, 'url': NULL, 'id': 248}, Cook Islands={'description': NULL, 'url': NULL, 'id': 249}, Costa Rica={'description': NULL, 'url': NULL, 'id': 250}, 'Côte d\\\'Ivoire'={'description': NULL, 'url': NULL, 'id': 251}, Croatia={'description': NULL, 'url': NULL, 'id': 252}, Cuba={'description': NULL, 'url': NULL, 'id': 253}, Czechia={'description': NULL, 'url': NULL, 'id': 254}, Djibouti={'description': NULL, 'url': NULL, 'id': 255}, Dominica={'description': NULL, 'url': NULL, 'id': 256}, Dominican Republic={'description': NULL, 'url': NULL, 'id': 257}, Ecuador={'description': NULL, 'url': NULL, 'id': 258}, Egypt={'description': NULL, 'url': NULL, 'id': 259}, El Salvador={'description': NULL, 'url': NULL, 'id': 260}, Equatorial Guinea={'description': NULL, 'url': NULL, 'id': 261}, Eritrea={'description': NULL, 'url': NULL, 'id': 262}, Estonia={'description': NULL, 'url': NULL, 'id': 263}, Ethiopia={'description': NULL, 'url': NULL, 'id': 264}, 'Falkland Islands (malvinas)'={'description': NULL, 'url': NULL, 'id': 265}, Faroe Islands={'description': NULL, 'url': NULL, 'id': 266}, Fiji={'description': NULL, 'url': NULL, 'id': 267}, Finland={'description': NULL, 'url': NULL, 'id': 268}, French Guiana={'description': NULL, 'url': NULL, 'id': 269}, French Polynesia={'description': NULL, 'url': NULL, 'id': 270}, French Southern Territories={'description': NULL, 'url': NULL, 'id': 271}, Gabon={'description': NULL, 'url': NULL, 'id': 272}, Gambia={'description': NULL, 'url': NULL, 'id': 273}, Georgia={'description': NULL, 'url': NULL, 'id': 274}, Ghana={'description': NULL, 'url': NULL, 'id': 275}, Gibraltar={'description': NULL, 'url': NULL, 'id': 276}, Greenland={'description': NULL, 'url': NULL, 'id': 277}, Grenada={'description': NULL, 'url': NULL, 'id': 278}, Guadeloupe={'description': NULL, 'url': NULL, 'id': 279}, Guam={'description': NULL, 'url': NULL, 'id': 280}, Guatemala={'description': NULL, 'url': NULL, 'id': 281}, Guernsey={'description': NULL, 'url': NULL, 'id': 282}, Guinea={'description': NULL, 'url': NULL, 'id': 283}, Guinea-Bissau={'description': NULL, 'url': NULL, 'id': 284}, Guyana={'description': NULL, 'url': NULL, 'id': 285}, Haiti={'description': NULL, 'url': NULL, 'id': 286}, Heard & Mcdonald Islands={'description': NULL, 'url': NULL, 'id': 287}, 'Holy See (Vatican City State)'={'description': NULL, 'url': NULL, 'id': 288}, Honduras={'description': NULL, 'url': NULL, 'id': 289}, Hong Kong={'description': NULL, 'url': NULL, 'id': 290}, Iceland={'description': NULL, 'url': NULL, 'id': 291}, Indonesia={'description': NULL, 'url': NULL, 'id': 292}, Isle of Man={'description': NULL, 'url': NULL, 'id': 293}, Jamaica={'description': NULL, 'url': NULL, 'id': 294}, Japan={'description': NULL, 'url': NULL, 'id': 295}, Jersey={'description': NULL, 'url': NULL, 'id': 296}, Kazakhstan={'description': NULL, 'url': NULL, 'id': 297}, Kenya={'description': NULL, 'url': NULL, 'id': 298}, Kiribati={'description': NULL, 'url': NULL, 'id': 299}, 'Korea, Dem. People\\\'s Rep. of'={'description': NULL, 'url': NULL, 'id': 300}, 'Korea, Republic of'={'description': NULL, 'url': NULL, 'id': 301}, Kuwait={'description': NULL, 'url': NULL, 'id': 302}, 'Lao People\\\'s Dem. Republic'={'description': NULL, 'url': NULL, 'id': 303}, Latvia={'description': NULL, 'url': NULL, 'id': 304}, Lebanon={'description': NULL, 'url': NULL, 'id': 305}, Lesotho={'description': NULL, 'url': NULL, 'id': 306}, Liberia={'description': NULL, 'url': NULL, 'id': 307}, Libyan Arab Jamahiriya={'description': NULL, 'url': NULL, 'id': 308}, Liechtenstein={'description': NULL, 'url': NULL, 'id': 309}, Lithuania={'description': NULL, 'url': NULL, 'id': 310}, Luxembourg={'description': NULL, 'url': NULL, 'id': 311}, Macao={'description': NULL, 'url': NULL, 'id': 312}, North Macedonia={'description': NULL, 'url': NULL, 'id': 313}, Madagascar={'description': NULL, 'url': NULL, 'id': 314}, Malawi={'description': NULL, 'url': NULL, 'id': 315}, Malaysia={'description': NULL, 'url': NULL, 'id': 316}, Maldives={'description': NULL, 'url': NULL, 'id': 317}, Mali={'description': NULL, 'url': NULL, 'id': 318}, Malta={'description': NULL, 'url': NULL, 'id': 319}, Marshall Islands={'description': NULL, 'url': NULL, 'id': 320}, Martinique={'description': NULL, 'url': NULL, 'id': 321}, Mauritania={'description': NULL, 'url': NULL, 'id': 322}, Mauritius={'description': NULL, 'url': NULL, 'id': 323}, Mayotte={'description': NULL, 'url': NULL, 'id': 324}, Mexico={'description': NULL, 'url': NULL, 'id': 325}, 'Micronesia, Fed. States of'={'description': NULL, 'url': NULL, 'id': 326}, Moldova={'description': NULL, 'url': NULL, 'id': 327}, Monaco={'description': NULL, 'url': NULL, 'id': 328}, Mongolia={'description': NULL, 'url': NULL, 'id': 329}, Montenegro={'description': NULL, 'url': NULL, 'id': 330}, Montserrat={'description': NULL, 'url': NULL, 'id': 331}, Morocco={'description': NULL, 'url': NULL, 'id': 332}, Mozambique={'description': NULL, 'url': NULL, 'id': 333}, Namibia={'description': NULL, 'url': NULL, 'id': 334}, Nauru={'description': NULL, 'url': NULL, 'id': 335}, Nepal={'description': NULL, 'url': NULL, 'id': 336}, Netherlands Antilles={'description': NULL, 'url': NULL, 'id': 337}, New Caledonia={'description': NULL, 'url': NULL, 'id': 338}, Nicaragua={'description': NULL, 'url': NULL, 'id': 339}, Niger={'description': NULL, 'url': NULL, 'id': 340}, Nigeria={'description': NULL, 'url': NULL, 'id': 341}, Niue={'description': NULL, 'url': NULL, 'id': 342}, Norfolk Island={'description': NULL, 'url': NULL, 'id': 343}, Northern Mariana Islands={'description': NULL, 'url': NULL, 'id': 344}, Oman={'description': NULL, 'url': NULL, 'id': 345}, Pakistan={'description': NULL, 'url': NULL, 'id': 346}, Palau={'description': NULL, 'url': NULL, 'id': 347}, 'Palestinian Territory, Occupied'={'description': NULL, 'url': NULL, 'id': 348}, Panama={'description': NULL, 'url': NULL, 'id': 349}, Papua New Guinea={'description': NULL, 'url': NULL, 'id': 350}, Paraguay={'description': NULL, 'url': NULL, 'id': 351}, Peru={'description': NULL, 'url': NULL, 'id': 352}, Philippines={'description': NULL, 'url': NULL, 'id': 353}, Pitcairn={'description': NULL, 'url': NULL, 'id': 354}, Poland={'description': NULL, 'url': NULL, 'id': 355}, Portugal={'description': NULL, 'url': NULL, 'id': 356}, Puerto Rico={'description': NULL, 'url': NULL, 'id': 357}, Qatar={'description': NULL, 'url': NULL, 'id': 358}, Reunion={'description': NULL, 'url': NULL, 'id': 359}, Romania={'description': NULL, 'url': NULL, 'id': 360}, Russia={'description': NULL, 'url': NULL, 'id': 361}, Rwanda={'description': NULL, 'url': NULL, 'id': 362}, Saint Barthélemy={'description': NULL, 'url': NULL, 'id': 363}, Saint Helena={'description': NULL, 'url': NULL, 'id': 364}, Saint Kitts and Nevis={'description': NULL, 'url': NULL, 'id': 365}, Saint Lucia={'description': NULL, 'url': NULL, 'id': 366}, Saint Martin={'description': NULL, 'url': NULL, 'id': 367}, Saint Pierre and Miquelon={'description': NULL, 'url': NULL, 'id': 368}, Saint Vincent and the Grenadines={'description': NULL, 'url': NULL, 'id': 369}, Samoa={'description': NULL, 'url': NULL, 'id': 370}, San Marino={'description': NULL, 'url': NULL, 'id': 371}, Sao Tome and Principe={'description': NULL, 'url': NULL, 'id': 372}, Saudi Arabia={'description': NULL, 'url': NULL, 'id': 373}, Senegal={'description': NULL, 'url': NULL, 'id': 374}, Serbia={'description': NULL, 'url': NULL, 'id': 375}, Seychelles={'description': NULL, 'url': NULL, 'id': 376}, Sierra Leone={'description': NULL, 'url': NULL, 'id': 377}, Slovakia={'description': NULL, 'url': NULL, 'id': 378}, Slovenia={'description': NULL, 'url': NULL, 'id': 379}, Solomon Islands={'description': NULL, 'url': NULL, 'id': 380}, Somalia={'description': NULL, 'url': NULL, 'id': 381}, South Georgia & S. Sandwich Ils.={'description': NULL, 'url': NULL, 'id': 382}, Sri Lanka={'description': NULL, 'url': NULL, 'id': 383}, Sudan={'description': NULL, 'url': NULL, 'id': 384}, Suriname={'description': NULL, 'url': NULL, 'id': 385}, Svalbard and Jan Mayen={'description': NULL, 'url': NULL, 'id': 386}, Swaziland={'description': NULL, 'url': NULL, 'id': 387}, Switzerland={'description': NULL, 'url': NULL, 'id': 388}, Tajikistan={'description': NULL, 'url': NULL, 'id': 389}, 'Tanzania, United Republic of'={'description': NULL, 'url': NULL, 'id': 390}, Timor-Leste={'description': NULL, 'url': NULL, 'id': 391}, Togo={'description': NULL, 'url': NULL, 'id': 392}, Tokelau={'description': NULL, 'url': NULL, 'id': 393}, Tonga={'description': NULL, 'url': NULL, 'id': 394}, Trinidad and Tobago={'description': NULL, 'url': NULL, 'id': 395}, Tunisia={'description': NULL, 'url': NULL, 'id': 396}, Turkmenistan={'description': NULL, 'url': NULL, 'id': 397}, Turks and Caicos Islands={'description': NULL, 'url': NULL, 'id': 398}, Tuvalu={'description': NULL, 'url': NULL, 'id': 399}, Uganda={'description': NULL, 'url': NULL, 'id': 400}, Ukraine={'description': NULL, 'url': NULL, 'id': 401}, United States Minor Outlying Islnds={'description': NULL, 'url': NULL, 'id': 402}, Uruguay={'description': NULL, 'url': NULL, 'id': 403}, Vanuatu={'description': NULL, 'url': NULL, 'id': 404}, Venezuela={'description': NULL, 'url': NULL, 'id': 405}, 'Virgin Islands, British'={'description': NULL, 'url': NULL, 'id': 406}, 'Virgin Islands, U.S.'={'description': NULL, 'url': NULL, 'id': 407}, Wallis and Futuna={'description': NULL, 'url': NULL, 'id': 408}, Western Sahara={'description': NULL, 'url': NULL, 'id': 409}, Yemen={'description': NULL, 'url': NULL, 'id': 410}, Zambia={'description': NULL, 'url': NULL, 'id': 411}, Zimbabwe={'description': NULL, 'url': NULL, 'id': 412}, South Sudan={'description': NULL, 'url': NULL, 'id': 5423}, England={'description': NULL, 'url': NULL, 'id': 9700}, Wales={'description': NULL, 'url': NULL, 'id': 9701}, Northern Ireland={'description': NULL, 'url': NULL, 'id': 9702}, New Caldonia={'description': NULL, 'url': NULL, 'id': 9703}, Scotland={'description': NULL, 'url': NULL, 'id': 9704}, North Korea={'description': NULL, 'url': NULL, 'id': 9717}, South Korea={'description': NULL, 'url': NULL, 'id': 9718}}"
Primary information,,1,1759,12,133,place_type,The type or category of place,,4,0,3,5321,0,0,,required,public,open,open,2,1759,1,0,1,1,,,false,dropdown_add,,0,,false,false,0,,2024-08-23 15:33:22,1,,false,12,Place,0,"A simplified record for a Place, for routine use eg. for site location, place of birth, place of publication. Use Place (detailed) where more information is needed.","[2-1], [1232] ([2-26.term])",[1],Places,reserved,3,Place,1009,viewable,true,21,,false,,,normal,false,true,2024-07-02 11:15:25,true,133,place_type,Please document the nature of this detail type (field)) ...,enum,The type or category of place,,,open,3,Place type,1068,114,0,5039,[],[],0,true,viewable,2024-08-23 15:27:11,true,,5039,Place type,,4,"{Administrative={'description': NULL, 'url': NULL, 'id': 5040}, Geometric={'description': A place simply defined by its coordinates, 'url': NULL, 'id': 5041}, Thematic={'description': NULL, 'url': NULL, 'id': 5042}, Conceptual={'description': 'A place such as Inner Sydney. It has no precise definition, different people will have different ideas of its boundaries, but everyone will have a common core area.', 'url': NULL, 'id': 5043}}"
Primary information,,1,1753,12,28,location_mappable,Geospatial location(s) to which this record relates. Use for simple mapping where locations are identified by coordinates rather than names.,"Used to store standard geographical information. Can be a point, line or polygon. This detail can be thought of as an encapsulation of various sub details - e.g. latitude and longitude - which would otherwise need to be managed in separate details and therefore be more challenging to manage",5,60,3,,0,0,,recommended,public,open,open,3,2279,1,0,1,1,,,false,dropdown_add,,0,,false,false,0,,2024-08-23 15:25:33,1,,false,12,Place,0,"A simplified record for a Place, for routine use eg. for site location, place of birth, place of publication. Use Place (detailed) where more information is needed.","[2-1], [1232] ([2-26.term])",[1],Places,reserved,3,Place,1009,viewable,true,21,,false,,,normal,false,true,2024-07-02 11:15:25,true,28,location_mappable,Geospatial shape associated with the object/entity,geo,Geospatial location(s) to which this record relates. Use for simple mapping where locations are identified by coordinates rather than names.,"Used to store standard geographical information. Can be a point, line or polygon. This detail can be thought of as an encapsulation of various sub details - e.g. latitude and longitude - which would otherwise need to be managed in separate details and therefore be more challenging to manage",,reserved,2,Geospatial object,28,114,0,,[],[],0,true,viewable,2024-08-23 15:25:38,true,,,,,,
Primary information,,1,2296,12,227,location_certainty,The confidence with which the location of the place is ascribed.,,6,5,3,5342,0,0,,required,public,open,open,2,2296,1,0,1,1,,,false,dropdown_add,,0,,false,false,0,,2024-08-23 18:12:56,1,,false,12,Place,0,"A simplified record for a Place, for routine use eg. for site location, place of birth, place of publication. Use Place (detailed) where more information is needed.","[2-1], [1232] ([2-26.term])",[1],Places,reserved,3,Place,1009,viewable,true,21,,false,,,normal,false,true,2024-07-02 11:15:25,true,227,location_certainty,Please document the nature of this detail type (field)) ...,enum,The confidence with which the location of the place is ascribed.,,,open,1125,Locational certainty,101,114,0,5341,[],[],0,true,viewable,2024-08-23 15:26:34,true,,5341,Certainty of localisation,,5,"{1. High confidence={'description': We know this is where the place was located, 'url': NULL, 'id': 5342}, 2. Probable location={'description': 'This is where we think it was located, but it is open to some doubt or fuzziness', 'url': NULL, 'id': 5343}, 3. Conjectural={'description': 'We think this is where it might have been, but are by no means certain', 'url': NULL, 'id': 5344}, 4. Uncertain={'description': 'Beyond broad attribution, we do not know where this was located', 'url': NULL, 'id': 5345}, 5. Mobile={'description': A location which moved around within some identified area, 'url': NULL, 'id': 5346}}"
Primary information,,1,2446,12,581,geonames_id,The ID of the place in GeoNames. Info is then available at http://www.geonames.org/<geonameID>,,7,10,0,,0,0,,recommended,public,open,open,2,2446,1,0,1,1,,,false,dropdown_add,,0,,false,false,0,,2024-08-23 15:26:46,1,,false,12,Place,0,"A simplified record for a Place, for routine use eg. for site location, place of birth, place of publication. Use Place (detailed) where more information is needed.","[2-1], [1232] ([2-26.term])",[1],Places,reserved,3,Place,1009,viewable,true,21,,false,,,normal,false,true,2024-07-02 11:15:25,true,581,geonames_id,Please document the nature of this detail type (field)) ...,float,The ID of the place in GeoNames. Info is then available at http://www.geonames.org/<geonameID>,,,reserved,2,GeoNames ID,581,114,0,,[],[],0,true,viewable,2024-08-23 15:26:48,true,,,,,,
Primary information,,1,3946,12,1363,data_source,Citation of the data source.,,8,60,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-11-18 11:56:38,0,,false,12,Place,0,"A simplified record for a Place, for routine use eg. for site location, place of birth, place of publication. Use Place (detailed) where more information is needed.","[2-1], [1232] ([2-26.term])",[1],Places,reserved,3,Place,1009,viewable,true,21,,false,,,normal,false,true,2024-07-02 11:15:25,true,1363,data_source,Please document the nature of this detail type (field)) ...,freetext,Citation of the data source.,,,open,0,data_source,1363,1,0,,[],[],,true,viewable,2024-11-18 11:56:38,false,,,,,,
Descriptive,,2,2403,12,69,Descriptive,,,9,0,3,tabs,0,0,,optional,public,open,open,2,2403,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-11-18 11:51:23,1,,false,12,Place,0,"A simplified record for a Place, for routine use eg. for site location, place of birth, place of publication. Use Place (detailed) where more information is needed.","[2-1], [1232] ([2-26.term])",[1],Places,reserved,3,Place,1009,viewable,true,21,,false,,,normal,false,true,2024-07-02 11:15:25,true,69,Header 3,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 3,69,139,0,,[],[],0,false,viewable,2021-12-31 05:59:45,true,,,,,,
