sec,secHelpText,group_id,rst_ID,rst_RecTypeID,rst_DetailTypeID,rst_DisplayName,rst_DisplayHelpText,rst_DisplayExtendedDescription,rst_DisplayOrder,rst_DisplayWidth,rst_DisplayHeight,rst_DefaultValue,rst_RecordMatchOrder,rst_CalcFunctionID,rst_CalcFieldMask,rst_RequirementType,rst_NonOwnerVisibility,rst_Status,rst_MayModify,rst_OriginatingDBID,rst_IDInOriginatingDB,rst_MaxValues,rst_MinValues,rst_InitialRepeats,rst_DisplayDetailTypeGroupID,rst_FilteredJsonTermIDTree,rst_PtrFilteredIDs,rst_CreateChildIfRecPtr,rst_PointerMode,rst_PointerBrowseFilter,rst_OrderForThumbnailGeneration,rst_TermIDTreeNonSelectableIDs,rst_ShowDetailCertainty,rst_ShowDetailAnnotation,rst_NumericLargestValueUsed,rst_EntryMask,rst_Modified,rst_LocallyModified,rst_SemanticReferenceURL,rst_TermsAsButtons,rty_ID,rty_Name,rty_OrderInGroup,rty_Description,rty_TitleMask,rty_CanonicalTitleMask,rty_Plural,rty_Status,rty_OriginatingDBID,rty_NameInOriginatingDB,rty_IDInOriginatingDB,rty_NonOwnerVisibility,rty_ShowInLists,rty_RecTypeGroupID,rty_RecTypeModelIDs,rty_FlagAsFieldset,rty_ReferenceURL,rty_AlternativeRecEditor,rty_Type,rty_ShowURLOnEditForm,rty_ShowDescriptionOnEditForm,rty_Modified,rty_LocallyModified,dty_ID,dty_Name,dty_Documentation,dty_Type,dty_HelpText,dty_ExtendedDescription,dty_EntryMask,dty_Status,dty_OriginatingDBID,dty_NameInOriginatingDB,dty_IDInOriginatingDB,dty_DetailTypeGroupID,dty_OrderInGroup,dty_JsonTermIDTree,dty_TermIDTreeNonSelectableIDs,dty_PtrTargetRectypeIDs,dty_FieldSetRectypeID,dty_ShowInLists,dty_NonOwnerVisibility,dty_Modified,dty_LocallyModified,dty_SemanticReferenceURL,trm_TreeID,trm_Label,trm_Description,n_vocabTerms,vocabTerms
General infromation,,1,3096,92,57,General infromation,,,0,100,3,tabs,0,0,,optional,public,open,open,2,3096,1,0,1,99,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,92,Project,0,The project under which the work is done,[2-1],[2-1],Projects,open,1186,Project,60,viewable,true,14,,false,,,normal,false,true,2021-03-12 12:20:37,true,57,Header 1,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 1,57,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
General infromation,,1,3097,92,1,Project Name / Title,The main name or title for the project,,1,80,3,,0,0,,required,public,open,open,2,3097,1,1,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,92,Project,0,The project under which the work is done,[2-1],[2-1],Projects,open,1186,Project,60,viewable,true,14,,false,,,normal,false,true,2021-03-12 12:20:37,true,1,place_name,Name or phrase used to identify the represented object/entity,freetext,"Commonly used name of the place. Do not abbreviate or use hierarchichal naming (put that under country, state etc.)",,,reserved,2,Name,1,1,0,,[],[],0,true,viewable,2024-08-23 15:27:48,true,,,,,,
General infromation,,1,3098,92,132,Alternate name(s) / title(s),Alternative names or titles by which this project is/has been known,,2,80,3,,0,0,,optional,public,open,open,2,3098,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,92,Project,0,The project under which the work is done,[2-1],[2-1],Projects,open,1186,Project,60,viewable,true,14,,false,,,normal,false,true,2021-03-12 12:20:37,true,132,alternative_names,,freetext,"Alternative names or titles, use for simple alternatives where additional metadata is not needed.",,,open,3,Title - alternate,1009,1,0,,[],[],0,true,viewable,2024-09-24 11:33:39,true,,,,,,
General infromation,,1,3099,92,134,Location (place),Reference to the extent of or Places associated with this project,,3,0,3,,0,0,,recommended,public,open,open,2,3099,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,92,Project,0,The project under which the work is done,[2-1],[2-1],Projects,open,1186,Project,60,viewable,true,14,,false,,,normal,false,true,2021-03-12 12:20:37,true,134,Location (place),Please document the nature of this detail type (field)) ...,resource,Reference (pointer) to the Place where the entity is located (for organisations generally head office/main location),,,open,2,Location (place) >,134,114,0,,[],[12],0,true,viewable,2017-01-15 18:29:57,true,,,,,,
General infromation,,1,3100,92,4,Description,Description of the project,,4,100,3,,0,0,,recommended,public,open,open,2,3100,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,92,Project,0,The project under which the work is done,[2-1],[2-1],Projects,open,1186,Project,60,viewable,true,14,,false,,,normal,false,true,2021-03-12 12:20:37,true,4,Extended description,Extended description of the object/entity,blocktext,"An extended description, use this for free-format description up to 64K latin or 32K UTF characters",,,approved,2,Extended description,4,1,0,,[],[],0,true,viewable,2020-01-14 23:10:33,true,,,,,,
Stakeholders,,2,3101,92,58,Stakeholders,,,5,100,3,tabs,0,0,,optional,public,open,open,2,3101,1,0,1,99,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,92,Project,0,The project under which the work is done,[2-1],[2-1],Projects,open,1186,Project,60,viewable,true,14,,false,,,normal,false,true,2021-03-12 12:20:37,true,58,Header 2,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 2,58,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Stakeholders,,2,3102,92,21,Lead organisations,An organisation involved in this project,,6,0,3,,0,0,,recommended,public,open,open,2,3102,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,92,Project,0,The project under which the work is done,[2-1],[2-1],Projects,open,1186,Project,60,viewable,true,14,,false,,,normal,false,true,2021-03-12 12:20:37,true,21,Organisation,Record pointer constrained to organisation records,resource,A legally defined organisation or group of people identifying as an organisation,,,approved,2,Pointer to Organisation,21,135,0,,[],[4],0,true,viewable,2021-03-11 23:40:38,true,,,,,,
Stakeholders,,2,3103,92,16,Project leaders,Reference to a Person record for people involved in the project and their role,,7,0,3,,0,0,,recommended,public,open,open,2,3103,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,92,Project,0,The project under which the work is done,[2-1],[2-1],Projects,open,1186,Project,60,viewable,true,14,,false,,,normal,false,true,2021-03-12 12:20:37,true,16,Person,Record pointer constrained to person records,resource,Reference (pointer) to a Person record (use Author/Creator field type where organisations as well as people may apply),,,reserved,2,Pointer to Person,16,8,0,,[],[10],0,true,viewable,2017-01-15 18:29:30,true,,,,,,
Stakeholders,,2,3104,92,1025,Aboriginal Parties/ Other groups,The Aboriginal Parties or other groups associated with this area,,8,0,3,,0,0,,recommended,public,open,open,2,3104,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,92,Project,0,The project under which the work is done,[2-1],[2-1],Projects,open,1186,Project,60,viewable,true,14,,false,,,normal,false,true,2021-03-12 12:20:37,true,1025,Indigeneous groups,Please document the nature of this detail type (field)) ...,resource,The Indigenous groups associated with this place,,,open,1186,Aboriginal Parties,759,135,0,,[],"[10, 4, 93]",0,true,viewable,2021-03-12 00:43:48,true,,,,,,
Stakeholders,,2,3105,92,1042,Client/ Funding body,The client or funding body for this project,,9,0,3,,0,0,,recommended,public,open,open,2,3105,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,92,Project,0,The project under which the work is done,[2-1],[2-1],Projects,open,1186,Project,60,viewable,true,14,,false,,,normal,false,true,2021-03-12 12:20:37,true,1042,Client,Please document the nature of this detail type (field)) ...,resource,The client for this project,,,open,1186,Client,503,135,0,,[],"[4, 10]",0,true,viewable,2021-03-12 00:04:03,true,,,,,,
