sec,secHelpText,group_id,rst_ID,rst_RecTypeID,rst_DetailTypeID,rst_DisplayName,rst_DisplayHelpText,rst_DisplayExtendedDescription,rst_DisplayOrder,rst_DisplayWidth,rst_DisplayHeight,rst_DefaultValue,rst_RecordMatchOrder,rst_CalcFunctionID,rst_CalcFieldMask,rst_RequirementType,rst_NonOwnerVisibility,rst_Status,rst_MayModify,rst_OriginatingDBID,rst_IDInOriginatingDB,rst_MaxValues,rst_MinValues,rst_InitialRepeats,rst_DisplayDetailTypeGroupID,rst_FilteredJsonTermIDTree,rst_PtrFilteredIDs,rst_CreateChildIfRecPtr,rst_PointerMode,rst_PointerBrowseFilter,rst_OrderForThumbnailGeneration,rst_TermIDTreeNonSelectableIDs,rst_ShowDetailCertainty,rst_ShowDetailAnnotation,rst_NumericLargestValueUsed,rst_EntryMask,rst_Modified,rst_LocallyModified,rst_SemanticReferenceURL,rst_TermsAsButtons,rty_ID,rty_Name,rty_OrderInGroup,rty_Description,rty_TitleMask,rty_CanonicalTitleMask,rty_Plural,rty_Status,rty_OriginatingDBID,rty_NameInOriginatingDB,rty_IDInOriginatingDB,rty_NonOwnerVisibility,rty_ShowInLists,rty_RecTypeGroupID,rty_RecTypeModelIDs,rty_FlagAsFieldset,rty_ReferenceURL,rty_AlternativeRecEditor,rty_Type,rty_ShowURLOnEditForm,rty_ShowDescriptionOnEditForm,rty_Modified,rty_LocallyModified,dty_ID,dty_Name,dty_Documentation,dty_Type,dty_HelpText,dty_ExtendedDescription,dty_EntryMask,dty_Status,dty_OriginatingDBID,dty_NameInOriginatingDB,dty_IDInOriginatingDB,dty_DetailTypeGroupID,dty_OrderInGroup,dty_JsonTermIDTree,dty_TermIDTreeNonSelectableIDs,dty_PtrTargetRectypeIDs,dty_FieldSetRectypeID,dty_ShowInLists,dty_NonOwnerVisibility,dty_Modified,dty_LocallyModified,dty_SemanticReferenceURL,trm_TreeID,trm_Label,trm_Description,n_vocabTerms,vocabTerms
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3833,108,57,Label Components,Data fields that also help human users search for and recognize this record in the database.,,0,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 16:42:09,0,,false,108,repository,0,Archival institution,"[1233.2-1], [1335]",160,repositories,open,0,archive,108,viewable,true,23,,false,,,normal,false,true,2024-10-02 14:12:19,false,57,Header 1,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 1,57,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3836,108,1244,preferred_name,Received or primary name by which the entity is known.,,1,100,3,,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 16:42:27,0,,false,108,repository,0,Archival institution,"[1233.2-1], [1335]",160,repositories,open,0,archive,108,viewable,true,23,,false,,,normal,false,true,2024-10-02 14:12:19,false,1244,preferred_name,Please document the nature of this detail type (field)) ...,freetext,Received or primary name by which the entity is known.,,,open,0,preferred_name,1244,1,0,,[],[],,true,viewable,2024-08-27 15:57:52,false,,,,,,
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3903,108,1335,label_name,Shortened name of the entity.,,2,40,3,,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-01 14:24:26,0,,false,108,repository,0,Archival institution,"[1233.2-1], [1335]",160,repositories,open,0,archive,108,viewable,true,23,,false,,,normal,false,true,2024-10-02 14:12:19,false,1335,short_name,Please document the nature of this detail type (field)) ...,freetext,Shortened name of the entity.,,,open,0,short_name,1335,1,0,,[],[],,true,viewable,2024-10-01 14:24:15,false,,,,,,
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3594,108,1233,city,"City, town, or municipality in which the organization is located.",,3,100,3,,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-01 14:24:15,0,,false,108,repository,0,Archival institution,"[1233.2-1], [1335]",160,repositories,open,0,archive,108,viewable,true,23,,false,,,normal,false,true,2024-10-02 14:12:19,false,1233,city,Please document the nature of this detail type (field)) ...,resource,"City, town, or municipality in which the organization is located.",,,open,0,City,1233,1,0,,[],[12],,true,viewable,2024-09-05 16:42:49,false,,,,,,
Description,Data fields about the general description of the entity.,2,3834,108,58,Description,Data fields about the general description of the entity.,,4,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-01 14:24:15,0,,false,108,repository,0,Archival institution,"[1233.2-1], [1335]",160,repositories,open,0,archive,108,viewable,true,23,,false,,,normal,false,true,2024-10-02 14:12:19,false,58,Header 2,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 2,58,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Description,Data fields about the general description of the entity.,2,3592,108,132,alternative_names,"Alternative names or titles, use for simple alternatives where additional metadata is not needed",,5,100,3,,0,,,optional,public,open,open,0,,0,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-01 14:24:15,0,,false,108,repository,0,Archival institution,"[1233.2-1], [1335]",160,repositories,open,0,archive,108,viewable,true,23,,false,,,normal,false,true,2024-10-02 14:12:19,false,132,alternative_names,,freetext,"Alternative names or titles, use for simple alternatives where additional metadata is not needed.",,,open,3,Title - alternate,1009,1,0,,[],[],0,true,viewable,2024-09-24 11:33:39,true,,,,,,
Description,Data fields about the general description of the entity.,2,3595,108,1234,VIAF,The record\'s permanent identifier in the VIAF database.,,6,10,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-01 14:24:15,0,,false,108,repository,0,Archival institution,"[1233.2-1], [1335]",160,repositories,open,0,archive,108,viewable,true,23,,false,,,normal,false,true,2024-10-02 14:12:19,false,1234,VIAF,Please document the nature of this detail type (field)) ...,float,The record\'s permanent identifier in the VIAF database.,,,open,0,VIAF Identifier,1234,1,0,,[],[],,true,viewable,2024-09-05 16:44:29,false,,,,,,
Description,Data fields about the general description of the entity.,2,3596,108,1235,ISNI,International Standard Name Identifier.,,7,10,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-01 14:24:15,0,,false,108,repository,0,Archival institution,"[1233.2-1], [1335]",160,repositories,open,0,archive,108,viewable,true,23,,false,,,normal,false,true,2024-10-02 14:12:19,false,1235,ISNI,Please document the nature of this detail type (field)) ...,freetext,International Standard Name Identifier.,,,open,0,ISNI,1235,1,0,,[],[],,true,viewable,2024-07-09 14:51:41,false,,,,,,
Description,Data fields about the general description of the entity.,2,3597,108,1236,biblissima_identifier,Permanent identifier for the record in the Biblissima+ database.,,8,60,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-01 14:24:15,0,,false,108,repository,0,Archival institution,"[1233.2-1], [1335]",160,repositories,open,0,archive,108,viewable,true,23,,false,,,normal,false,true,2024-10-02 14:12:19,false,1236,biblissima_identifier,Please document the nature of this detail type (field)) ...,freetext,Permanent identifier for the record in the Biblissima+ database.,,,open,0,Biblissima Identifier,1236,1,0,,[],[],,true,viewable,2024-09-05 16:45:06,false,,,,,,
Description,Data fields about the general description of the entity.,2,3486,108,1185,website,Website of the archival institution according to Archives Portal Europe.,,9,60,3,,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-01 14:24:15,0,https://www.wikidata.org/wiki/Q22137024,false,108,repository,0,Archival institution,"[1233.2-1], [1335]",160,repositories,open,0,archive,108,viewable,true,23,,false,,,normal,false,true,2024-10-02 14:12:19,false,1185,Website,Please document the nature of this detail type (field)) ...,freetext,Website of the archival institution according to Archives Portal Europe.,,,open,0,Website,1185,1,0,,[],[],,true,viewable,2024-06-03 10:39:01,false,https://www.wikidata.org/wiki/Q22137024,,,,,
