sec,secHelpText,group_id,rst_ID,rst_RecTypeID,rst_DetailTypeID,rst_DisplayName,rst_DisplayHelpText,rst_DisplayExtendedDescription,rst_DisplayOrder,rst_DisplayWidth,rst_DisplayHeight,rst_DefaultValue,rst_RecordMatchOrder,rst_CalcFunctionID,rst_CalcFieldMask,rst_RequirementType,rst_NonOwnerVisibility,rst_Status,rst_MayModify,rst_OriginatingDBID,rst_IDInOriginatingDB,rst_MaxValues,rst_MinValues,rst_InitialRepeats,rst_DisplayDetailTypeGroupID,rst_FilteredJsonTermIDTree,rst_PtrFilteredIDs,rst_CreateChildIfRecPtr,rst_PointerMode,rst_PointerBrowseFilter,rst_OrderForThumbnailGeneration,rst_TermIDTreeNonSelectableIDs,rst_ShowDetailCertainty,rst_ShowDetailAnnotation,rst_NumericLargestValueUsed,rst_EntryMask,rst_Modified,rst_LocallyModified,rst_SemanticReferenceURL,rst_TermsAsButtons,rty_ID,rty_Name,rty_OrderInGroup,rty_Description,rty_TitleMask,rty_CanonicalTitleMask,rty_Plural,rty_Status,rty_OriginatingDBID,rty_NameInOriginatingDB,rty_IDInOriginatingDB,rty_NonOwnerVisibility,rty_ShowInLists,rty_RecTypeGroupID,rty_RecTypeModelIDs,rty_FlagAsFieldset,rty_ReferenceURL,rty_AlternativeRecEditor,rty_Type,rty_ShowURLOnEditForm,rty_ShowDescriptionOnEditForm,rty_Modified,rty_LocallyModified,dty_ID,dty_Name,dty_Documentation,dty_Type,dty_HelpText,dty_ExtendedDescription,dty_EntryMask,dty_Status,dty_OriginatingDBID,dty_NameInOriginatingDB,dty_IDInOriginatingDB,dty_DetailTypeGroupID,dty_OrderInGroup,dty_JsonTermIDTree,dty_TermIDTreeNonSelectableIDs,dty_PtrTargetRectypeIDs,dty_FieldSetRectypeID,dty_ShowInLists,dty_NonOwnerVisibility,dty_Modified,dty_LocallyModified,dty_SemanticReferenceURL,trm_TreeID,trm_Label,trm_Description,n_vocabTerms,vocabTerms
Primary Information,,1,3067,91,69,Primary Information,,,0,0,0,tabs,0,0,,optional,public,open,open,2,3067,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,69,Header 3,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 3,69,139,0,,[],[],0,false,viewable,2021-12-31 05:59:45,true,,,,,,
Primary Information,,1,3068,91,1021,Project:,The project with which this record is associated,,1,0,0,,0,0,,recommended,public,open,open,2,3068,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,1021,Project,Please document the nature of this detail type (field)) ...,resource,The project with which this record is associated,,,open,1201,Project:,515,135,0,,[],[92],0,true,viewable,2021-03-12 00:45:02,true,,,,,,
Primary Information,,1,3069,91,1,Recorders site ID,A unique identifier for the site assigned by the recorders,,2,10,3,,0,0,,recommended,public,open,open,2,3069,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,1,place_name,Name or phrase used to identify the represented object/entity,freetext,"Commonly used name of the place. Do not abbreviate or use hierarchichal naming (put that under country, state etc.)",,,reserved,2,Name,1,1,0,,[],[],0,true,viewable,2024-08-23 15:27:48,true,,,,,,
Primary Information,,1,3070,91,1022,Heritage Register Number,Number in the local State Heritage Register,,3,10,3,,0,0,,recommended,public,open,open,2,3070,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,1022,Heritage Register Number,Please document the nature of this detail type (field)) ...,freetext,Number in the local State Heritage Register,,,open,1186,Heritage Register Number,458,116,0,,[],[],0,true,viewable,2021-03-12 11:12:34,true,,,,,,
Primary Information,,1,3071,91,1023,Site Name,The Name of the Site,,4,80,0,,0,0,,required,public,open,open,2,3071,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,1023,institutional name,Please document the nature of this detail type (field)) ...,freetext,The name of the archival institution,,,open,1201,Site Name,1901,114,0,,[],[],0,true,viewable,2024-06-24 10:48:34,true,,,,,,
Primary Information,,1,3072,91,1024,Site Type,Type of archaeological site,,5,0,3,,0,0,,required,public,open,open,2,3072,0,1,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,1024,Site Type,Please document the nature of this detail type (field)) ...,enum,Type of archaeological site,,,open,1186,Site Type,353,128,0,6724,[],[],0,true,viewable,2019-10-04 17:49:43,false,,6724,Site Type,Type of archaeological site,4,"{Aboriginal Sites={'description': Aboriginal sites, 'url': NULL, 'id': 6725}, Historic Sites={'description': NULL, 'url': NULL, 'id': 6748}, Unknown={'description': NULL, 'url': NULL, 'id': 6762}, Post-contact={'description': NULL, 'url': NULL, 'id': 6763}}"
Primary Information,,1,3073,91,39,Primary / preferred image,"The representative image used in record view, in search results and in other compact listings",,6,0,0,,0,0,,recommended,public,open,open,2,3073,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,39,Primary / preferred image,Please document the nature of this detail type (field)) ...,file,"The representative image used in record view, in search results and in other compact listings",,,reserved,2,Thumbnail image,39,132,0,,[],[],0,true,viewable,2022-11-03 11:51:16,true,,,,,,
Primary Information,,1,3074,91,3,Site Summary,A concise description of the site which may or may not include landscape and context information. Useful for lsits of sites.,,7,100,3,,0,0,,recommended,public,open,open,2,3074,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,3,Short summary,Short summary or description of the object/entity,blocktext,"Short summary, typically used in annotated listings, information popups and so forth. Aim for 100 - 200 words.",,,reserved,2,Short summary,3,1,0,,[],[],0,true,viewable,2012-10-15 12:07:35,true,,,,,,
Primary Information,,1,3075,91,4,Extended description,"A detailed description of the site including its context in the landscape, salient features and any other pertinent informations. Max 32K characters.",,8,100,10,,0,0,,optional,public,open,open,2,3075,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,4,Extended description,Extended description of the object/entity,blocktext,"An extended description, use this for free-format description up to 64K latin or 32K UTF characters",,,approved,2,Extended description,4,1,0,,[],[],0,true,viewable,2020-01-14 23:10:33,true,,,,,,
Stakeholders and Recorders,,2,3076,91,57,Stakeholders and Recorders,,,9,100,3,tabs,0,0,,optional,public,open,open,2,3076,1,0,1,99,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,57,Header 1,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 1,57,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Stakeholders and Recorders,,2,3077,91,1025,Aboriginal Parties,The Aboriginal Parties associated with this place,,10,0,3,,0,0,,recommended,public,open,open,2,3077,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,1025,Indigeneous groups,Please document the nature of this detail type (field)) ...,resource,The Indigenous groups associated with this place,,,open,1186,Aboriginal Parties,759,135,0,,[],"[10, 4, 93]",0,true,viewable,2021-03-12 00:43:48,true,,,,,,
Stakeholders and Recorders,,2,3078,91,1026,Teams allocated,A pointer to a team working at this site,,11,0,0,,0,0,,recommended,public,open,open,2,3078,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,1026,Teams allocated,Please document the nature of this detail type (field)) ...,resource,A pointer to a team,,,open,1186,Teams allocated,505,135,0,,[],[94],0,true,viewable,2021-03-12 00:04:25,true,,,,,,
Stakeholders and Recorders,,2,3079,91,1027,Recorded By,The person who recorded this,,12,0,3,,0,0,,recommended,public,open,open,2,3079,0,1,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,1027,Recorded By,Please document the nature of this detail type (field)) ...,resource,The person who recorded this,,,open,1186,Recorded By,265,8,0,,[],[10],0,true,viewable,2021-03-12 11:11:24,true,,,,,,
Stakeholders and Recorders,,2,3080,91,1028,Date Recorded,The date on which this record was made,,13,10,0,today,0,0,,recommended,public,open,open,2,3080,1,1,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,1028,Date Recorded,Please document the nature of this detail type (field)) ...,date,The date on which this record was made,,,open,1201,Date Recorded,514,108,0,,[],[],0,true,viewable,2021-03-12 00:11:04,true,,,,,,
Survey info,,3,3081,91,70,Survey info,,,14,0,0,tabs,0,0,,optional,public,open,open,2,3081,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,70,Header 4,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 4,70,139,0,,[],[],0,false,viewable,2021-12-31 05:59:46,true,,,,,,
Survey info,,3,3082,91,1029,Site Length (m),The length of the site in metres,,15,10,3,,0,0,,recommended,public,open,open,2,3082,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,1029,Site Length (m),Please document the nature of this detail type (field)) ...,float,The length of the site in metres,,,open,1186,Site Length (m),357,128,0,,[],[],0,true,viewable,2019-10-04 17:49:43,false,,,,,,
Survey info,,3,3083,91,1030,Site Width (m),The width of the site in metres,,16,10,3,,0,0,,recommended,public,open,open,2,3083,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,1030,Site Width (m),Please document the nature of this detail type (field)) ...,float,The width of the site in metres,,,open,1186,Site Width (m),358,128,0,,[],[],0,true,viewable,2019-10-04 17:49:43,false,,,,,,
Survey info,,3,3084,91,1031,Site Depth (m),The depth of the site in metres,,17,10,3,,0,0,,optional,public,open,open,2,3084,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,1031,Site Depth (m),Please document the nature of this detail type (field)) ...,float,The depth of the site in metres,,,open,1186,Site Depth (m),359,128,0,,[],[],0,true,viewable,2019-10-04 17:49:43,false,,,,,,
Survey info,,3,3085,91,1032,Notes Concerning Dimensions,Notes about the dimensions recorded here,,18,100,3,,0,0,,recommended,public,open,open,2,3085,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,1032,Notes Concerning Dimensions,Please document the nature of this detail type (field)) ...,blocktext,Notes about the dimensions recorded here,,,open,1201,Notes Concerning Dimensions,2091,128,0,,[],[],0,true,viewable,2021-03-12 00:07:19,true,,,,,,
Survey info,,3,3086,91,1033,Ground Surface Visibility,"The visibility of the ground surface, expressed as a percentage",,19,10,3,,0,0,,recommended,public,open,open,2,3086,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,1033,Ground Surface Visibility,Please document the nature of this detail type (field)) ...,float,"The visibility of the ground surface, expressed as a percentage",,,open,1186,Ground Surface Visibility,379,128,0,,[],[],0,true,viewable,2019-10-04 17:49:43,false,,,,,,
Survey info,,3,3087,91,1034,Ground Integrity %,"The integrity of the ground surface, expressed as a percentage",,20,10,3,,0,0,,recommended,public,open,open,2,3087,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2023-01-05 14:03:52,9,,false,91,"Site (Historical, Archaeological)",0,An historic or archaeological site,[1186-353.Term] [1201-1901] [2-1],[1186-353.Term] [1201-1901] [2-1],"Site (Historical, Archaeological)s",open,1186,Archaeological Site,52,viewable,true,21,,false,,,normal,false,true,2021-03-12 12:14:39,true,1034,Ground Integrity %,Please document the nature of this detail type (field)) ...,float,"The integrity of the ground surface, expressed as a percentage",,,open,1186,Ground Integrity %,380,128,0,,[],[],0,true,viewable,2019-10-04 17:49:43,false,,,,,,
