sec,secHelpText,group_id,rst_ID,rst_RecTypeID,rst_DetailTypeID,rst_DisplayName,rst_DisplayHelpText,rst_DisplayExtendedDescription,rst_DisplayOrder,rst_DisplayWidth,rst_DisplayHeight,rst_DefaultValue,rst_RecordMatchOrder,rst_CalcFunctionID,rst_CalcFieldMask,rst_RequirementType,rst_NonOwnerVisibility,rst_Status,rst_MayModify,rst_OriginatingDBID,rst_IDInOriginatingDB,rst_MaxValues,rst_MinValues,rst_InitialRepeats,rst_DisplayDetailTypeGroupID,rst_FilteredJsonTermIDTree,rst_PtrFilteredIDs,rst_CreateChildIfRecPtr,rst_PointerMode,rst_PointerBrowseFilter,rst_OrderForThumbnailGeneration,rst_TermIDTreeNonSelectableIDs,rst_ShowDetailCertainty,rst_ShowDetailAnnotation,rst_NumericLargestValueUsed,rst_EntryMask,rst_Modified,rst_LocallyModified,rst_SemanticReferenceURL,rst_TermsAsButtons,rty_ID,rty_Name,rty_OrderInGroup,rty_Description,rty_TitleMask,rty_CanonicalTitleMask,rty_Plural,rty_Status,rty_OriginatingDBID,rty_NameInOriginatingDB,rty_IDInOriginatingDB,rty_NonOwnerVisibility,rty_ShowInLists,rty_RecTypeGroupID,rty_RecTypeModelIDs,rty_FlagAsFieldset,rty_ReferenceURL,rty_AlternativeRecEditor,rty_Type,rty_ShowURLOnEditForm,rty_ShowDescriptionOnEditForm,rty_Modified,rty_LocallyModified,dty_ID,dty_Name,dty_Documentation,dty_Type,dty_HelpText,dty_ExtendedDescription,dty_EntryMask,dty_Status,dty_OriginatingDBID,dty_NameInOriginatingDB,dty_IDInOriginatingDB,dty_DetailTypeGroupID,dty_OrderInGroup,dty_JsonTermIDTree,dty_TermIDTreeNonSelectableIDs,dty_PtrTargetRectypeIDs,dty_FieldSetRectypeID,dty_ShowInLists,dty_NonOwnerVisibility,dty_Modified,dty_LocallyModified,dty_SemanticReferenceURL,trm_TreeID,trm_Label,trm_Description,n_vocabTerms,vocabTerms
Identification, ,1,3353,104,57,Identification, ,,0,100,3,tabs,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2023-01-05 14:03:52,0,,false,104,stemma,0,"Stemma of a tradition, as attested in an edition.",[1128],160,stemmata,open,0,stemma,104,viewable,true,23,,false,,,normal,false,true,2022-09-03 16:14:58,false,57,Header 1,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 1,57,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Identification, ,1,3376,104,1128,openstemmata-id,id in open stemmata,,1,60,3,,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2023-01-05 14:03:52,0,,false,104,stemma,0,"Stemma of a tradition, as attested in an edition.",[1128],160,stemmata,open,0,stemma,104,viewable,true,23,,false,,,normal,false,true,2022-09-03 16:14:58,false,1128,openstemmata-id,Please document the nature of this detail type (field)) ...,freetext,id in open stemmata,,,open,0,openstemmata-id,1128,1,0,,[],[],,true,viewable,2022-09-03 16:02:21,false,,,,,,
Identification, ,1,3379,104,1131,openstemmata-contributor,openstemmata contributor,,2,60,3,,0,,,optional,public,open,open,0,,0,0,1,,,,false,dropdown_add,,,,false,false,,,2023-01-05 14:03:52,0,,false,104,stemma,0,"Stemma of a tradition, as attested in an edition.",[1128],160,stemmata,open,0,stemma,104,viewable,true,23,,false,,,normal,false,true,2022-09-03 16:14:58,false,1131,openstemmata-contributor,Please document the nature of this detail type (field)) ...,freetext,openstemmata contributor,,,open,0,openstemmata-contributor,1131,1,0,,[],[],,true,viewable,2022-09-03 16:16:05,false,,,,,,
Identification, ,1,3427,104,1153,reference_stemma,"Is this the reference stemma for this particular text, or an obsolete one?",,3,100,3,,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2023-01-05 14:03:52,0,,false,104,stemma,0,"Stemma of a tradition, as attested in an edition.",[1128],160,stemmata,open,0,stemma,104,viewable,true,23,,false,,,normal,false,true,2022-09-03 16:14:58,false,1153,reference_stemma,Please document the nature of this detail type (field)) ...,enum,"Is this the reference stemma for this particular text, or an obsolete one?",,,open,0,reference_stemma,1153,1,0,9496,[],[],,true,viewable,2022-09-08 18:19:26,false,,9496,yes/no vocab,,3,"{Yes={'description': NULL, 'url': NULL, 'id': 9497}, No={'description': NULL, 'url': NULL, 'id': 9498}, unknown={'description': The information is not ready for input., 'url': NULL, 'id': 9535}}"
Identification, ,1,3428,104,1154,text-title-freetext,Freetext version of the text whose stemma is being described.,,4,60,3,,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-04-11 08:38:40,0,,false,104,stemma,0,"Stemma of a tradition, as attested in an edition.",[1128],160,stemmata,open,0,stemma,104,viewable,true,23,,false,,,normal,false,true,2022-09-03 16:14:58,false,1154,text-title-freetext,Please document the nature of this detail type (field)) ...,freetext,Freetext version of the text whose stemma is being described.,,,open,0,textAuthor-freetext,1154,1,0,,[],[],,true,viewable,2024-04-11 08:38:48,false,,,,,,
Identification, ,1,3429,104,1155,text-author-freetext,Freetext version of the text author whose stemma is being described,,5,60,3,,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-04-11 08:39:22,0,,false,104,stemma,0,"Stemma of a tradition, as attested in an edition.",[1128],160,stemmata,open,0,stemma,104,viewable,true,23,,false,,,normal,false,true,2022-09-03 16:14:58,false,1155,text-author-freetext,Please document the nature of this detail type (field)) ...,freetext,Freetext version of the text author whose stemma is being described,,,open,0,textTitle-freetext,1155,1,0,,[],[],,true,viewable,2024-04-11 08:39:26,false,,,,,,
Identification, ,1,3430,104,1129,genre,text genre,,6,100,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2023-01-05 14:03:52,0,,false,104,stemma,0,"Stemma of a tradition, as attested in an edition.",[1128],160,stemmata,open,0,stemma,104,viewable,true,23,,false,,,normal,false,true,2022-09-03 16:14:58,false,1129,genre,Please document the nature of this detail type (field)) ...,enum,text genre,,,open,0,genre,1129,1,0,9488,[],[],,true,viewable,2022-09-03 16:12:34,false,,9488,__subgenre vocab,,24,"{chanson de geste={'description': NULL, 'url': NULL, 'id': 9489}, roman arthurien en prose={'description': NULL, 'url': NULL, 'id': 9512}, roman antique={'description': NULL, 'url': NULL, 'id': 9513}, roman en prose={'description': NULL, 'url': NULL, 'id': 9514}, narratif={'description': NULL, 'url': NULL, 'id': 9515}, roman d’aventures={'description': NULL, 'url': NULL, 'id': 9516}, roman arthurien en vers={'description': NULL, 'url': NULL, 'id': 9517}, biblique={'description': NULL, 'url': NULL, 'id': 9518}, Miracles+lyrique={'description': NULL, 'url': NULL, 'id': 9519}, lyrique={'description': NULL, 'url': NULL, 'id': 9520}, Fable={'description': NULL, 'url': NULL, 'id': 9521}, Conte={'description': NULL, 'url': NULL, 'id': 9522}, hagiographie={'description': NULL, 'url': NULL, 'id': 9523}, Lai={'description': NULL, 'url': NULL, 'id': 9524}, Bestiaire={'description': NULL, 'url': NULL, 'id': 9525}, Encyclopédie={'description': NULL, 'url': NULL, 'id': 9526}, roman antique en vers={'description': NULL, 'url': NULL, 'id': 9528}, roman={'description': NULL, 'url': NULL, 'id': 9529}, Vie={'description': NULL, 'url': NULL, 'id': 9530}, didactique={'description': NULL, 'url': NULL, 'id': 9531}, Chronicle={'description': NULL, 'url': NULL, 'id': 9532}, drama={'description': NULL, 'url': NULL, 'id': 9533}, chanson de saint={'description': NULL, 'url': NULL, 'id': 9534}, roman lignager={'description': NULL, 'url': NULL, 'id': 9719}}"
Description, ,2,3354,104,58,Description, ,,7,100,3,tabs,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2023-01-05 14:03:52,0,,false,104,stemma,0,"Stemma of a tradition, as attested in an edition.",[1128],160,stemmata,open,0,stemma,104,viewable,true,23,,false,,,normal,false,true,2022-09-03 16:14:58,false,58,Header 2,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 2,58,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Description, ,2,3390,104,1139,stemmaType,Type of tree: reconstructed (general case) or observed (very rare),,8,100,3,,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2023-01-05 14:03:52,0,,false,104,stemma,0,"Stemma of a tradition, as attested in an edition.",[1128],160,stemmata,open,0,stemma,104,viewable,true,23,,false,,,normal,false,true,2022-09-03 16:14:58,false,1139,stemmaType,Please document the nature of this detail type (field)) ...,enum,Type of tree: reconstructed (general case) or observed (very rare),,,open,0,stemmaType,1139,1,0,9493,[],[],,true,viewable,2022-09-03 16:32:56,false,,9493,stemmaType vocab,,2,"{reconstructed={'description': NULL, 'url': NULL, 'id': 9494}, observed={'description': NULL, 'url': NULL, 'id': 9495}}"
Description, ,2,3391,104,1140,drawnStemma,"stemma actually drawn in the source, or deduced from textual description?",,9,100,3,,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2023-01-05 14:03:52,0,,false,104,stemma,0,"Stemma of a tradition, as attested in an edition.",[1128],160,stemmata,open,0,stemma,104,viewable,true,23,,false,,,normal,false,true,2022-09-03 16:14:58,false,1140,drawnStemma,Please document the nature of this detail type (field)) ...,enum,"stemma actually drawn in the source, or deduced from textual description?",,,open,0,drawnStemma,1140,1,0,9496,[],[],,true,viewable,2022-09-03 16:35:06,false,,9496,yes/no vocab,,3,"{Yes={'description': NULL, 'url': NULL, 'id': 9497}, No={'description': NULL, 'url': NULL, 'id': 9498}, unknown={'description': The information is not ready for input., 'url': NULL, 'id': 9535}}"
