sec,secHelpText,group_id,rst_ID,rst_RecTypeID,rst_DetailTypeID,rst_DisplayName,rst_DisplayHelpText,rst_DisplayExtendedDescription,rst_DisplayOrder,rst_DisplayWidth,rst_DisplayHeight,rst_DefaultValue,rst_RecordMatchOrder,rst_CalcFunctionID,rst_CalcFieldMask,rst_RequirementType,rst_NonOwnerVisibility,rst_Status,rst_MayModify,rst_OriginatingDBID,rst_IDInOriginatingDB,rst_MaxValues,rst_MinValues,rst_InitialRepeats,rst_DisplayDetailTypeGroupID,rst_FilteredJsonTermIDTree,rst_PtrFilteredIDs,rst_CreateChildIfRecPtr,rst_PointerMode,rst_PointerBrowseFilter,rst_OrderForThumbnailGeneration,rst_TermIDTreeNonSelectableIDs,rst_ShowDetailCertainty,rst_ShowDetailAnnotation,rst_NumericLargestValueUsed,rst_EntryMask,rst_Modified,rst_LocallyModified,rst_SemanticReferenceURL,rst_TermsAsButtons,rty_ID,rty_Name,rty_OrderInGroup,rty_Description,rty_TitleMask,rty_CanonicalTitleMask,rty_Plural,rty_Status,rty_OriginatingDBID,rty_NameInOriginatingDB,rty_IDInOriginatingDB,rty_NonOwnerVisibility,rty_ShowInLists,rty_RecTypeGroupID,rty_RecTypeModelIDs,rty_FlagAsFieldset,rty_ReferenceURL,rty_AlternativeRecEditor,rty_Type,rty_ShowURLOnEditForm,rty_ShowDescriptionOnEditForm,rty_Modified,rty_LocallyModified,dty_ID,dty_Name,dty_Documentation,dty_Type,dty_HelpText,dty_ExtendedDescription,dty_EntryMask,dty_Status,dty_OriginatingDBID,dty_NameInOriginatingDB,dty_IDInOriginatingDB,dty_DetailTypeGroupID,dty_OrderInGroup,dty_JsonTermIDTree,dty_TermIDTreeNonSelectableIDs,dty_PtrTargetRectypeIDs,dty_FieldSetRectypeID,dty_ShowInLists,dty_NonOwnerVisibility,dty_Modified,dty_LocallyModified,dty_SemanticReferenceURL,trm_TreeID,trm_Label,trm_Description,n_vocabTerms,vocabTerms
Label Components,Dimensions used to construct record\'s label in the database.,1,3327,102,57,Label Components,Dimensions used to construct record\'s label in the database.,,0,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-08-27 16:00:19,0,,false,102,storyverse,0,"A grouping of literary works with a shared cast of characters; e.g. the cycle des Lorrains, represented as texts by the songs of Garin, Hervis,… Or the Avengers, if you like comic books.",[1244],160,storyverses,open,0,Cycle,102,viewable,true,23,,false,,,normal,false,true,2024-09-30 16:38:40,false,57,Header 1,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 1,57,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Label Components,Dimensions used to construct record\'s label in the database.,1,3611,102,1244,preferred_name,Received or primary name by which the entity is known.,,1,60,3,,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-08-27 18:30:51,0,,false,102,storyverse,0,"A grouping of literary works with a shared cast of characters; e.g. the cycle des Lorrains, represented as texts by the songs of Garin, Hervis,… Or the Avengers, if you like comic books.",[1244],160,storyverses,open,0,Cycle,102,viewable,true,23,,false,,,normal,false,true,2024-09-30 16:38:40,false,1244,preferred_name,Please document the nature of this detail type (field)) ...,freetext,Received or primary name by which the entity is known.,,,open,0,preferred_name,1244,1,0,,[],[],,true,viewable,2024-08-27 15:57:52,false,,,,,,
Description,,2,3615,102,69,Description,,,2,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-08-27 18:31:13,0,,false,102,storyverse,0,"A grouping of literary works with a shared cast of characters; e.g. the cycle des Lorrains, represented as texts by the songs of Garin, Hervis,… Or the Avengers, if you like comic books.",[1244],160,storyverses,open,0,Cycle,102,viewable,true,23,,false,,,normal,false,true,2024-09-30 16:38:40,false,69,Header 3,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 3,69,139,0,,[],[],0,false,viewable,2021-12-31 05:59:45,true,,,,,,
Description,,2,3613,102,1246,member_of_cycle,A parent cycle of which this entity is considered a part.,,3,100,3,,0,,,optional,public,open,open,0,,0,0,1,,,,false,dropdown_add,,,,false,false,,,2025-01-23 12:15:26,0,,false,102,storyverse,0,"A grouping of literary works with a shared cast of characters; e.g. the cycle des Lorrains, represented as texts by the songs of Garin, Hervis,… Or the Avengers, if you like comic books.",[1244],160,storyverses,open,0,Cycle,102,viewable,true,23,,false,,,normal,false,true,2024-09-30 16:38:40,false,1246,is_part_of_storyverse,Please document the nature of this detail type (field)) ...,resource,The storyverse of which this record is a part.,,,open,0,member_of_cycle,1246,1,0,,[],[102],,true,viewable,2025-01-23 12:16:17,false,,,,,,
Description,,2,3640,102,132,alternative_names,"Alternative names or titles, use for simple alternatives where additional metadata is not needed",,4,100,3,,0,,,optional,public,open,open,0,,0,0,1,,,,false,dropdown_add,,,,false,false,,,2025-03-24 17:55:45,0,https://www.wikidata.org/wiki/Property:P4970,false,102,storyverse,0,"A grouping of literary works with a shared cast of characters; e.g. the cycle des Lorrains, represented as texts by the songs of Garin, Hervis,… Or the Avengers, if you like comic books.",[1244],160,storyverses,open,0,Cycle,102,viewable,true,23,,false,,,normal,false,true,2024-09-30 16:38:40,false,132,alternative_names,,freetext,"Alternative names or titles, use for simple alternatives where additional metadata is not needed.",,,open,3,Title - alternate,1009,1,0,,[],[],0,true,viewable,2024-09-24 11:33:39,true,,,,,,
References,,3,3644,102,70,References,,,5,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-08-28 13:25:46,0,,false,102,storyverse,0,"A grouping of literary works with a shared cast of characters; e.g. the cycle des Lorrains, represented as texts by the songs of Garin, Hervis,… Or the Avengers, if you like comic books.",[1244],160,storyverses,open,0,Cycle,102,viewable,true,23,,false,,,normal,false,true,2024-09-30 16:38:40,false,70,Header 4,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 4,70,139,0,,[],[],0,false,viewable,2021-12-31 05:59:46,true,,,,,,
References,,3,3647,102,1255,described_by_source,"Work where the item is described.<br>Property <a target=\""_blank\"" href=\""https://www.wikidata.org/wiki/Property:P1343\"">P1343</a><br>\nDescribed in source / written about in / described by encyclopedia / described by reference work",,6,100,3,,0,,,recommended,public,open,open,0,,0,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-15 11:29:01,0,https://www.wikidata.org/wiki/Property:P1343,false,102,storyverse,0,"A grouping of literary works with a shared cast of characters; e.g. the cycle des Lorrains, represented as texts by the songs of Garin, Hervis,… Or the Avengers, if you like comic books.",[1244],160,storyverses,open,0,Cycle,102,viewable,true,23,,false,,,normal,false,true,2024-09-30 16:38:40,false,1255,described_by_source,Please document the nature of this detail type (field)) ...,resource,"Work where the item is described.<br>Property <a target=\""_blank\"" href=\""https://www.wikidata.org/wiki/Property:P1343\"">P1343</a><br>\nDescribed in source / written about in / described by encyclopedia / described by reference work",,,open,0,described_by_source,1255,1,0,,[],"[73, 77, 128, 69, 70]",,true,viewable,2024-10-16 14:22:50,false,https://www.wikidata.org/wiki/Property:P1343,,,,,
References,,3,3701,102,1269,described_at_URL,"Described at webpage.<br>Property <a target=\""_blank\"" href=\""https://www.wikidata.org/wiki/Property:P973\"">P973</a>",,7,100,3,,0,,,recommended,public,open,open,0,,0,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-15 15:40:36,0,,false,102,storyverse,0,"A grouping of literary works with a shared cast of characters; e.g. the cycle des Lorrains, represented as texts by the songs of Garin, Hervis,… Or the Avengers, if you like comic books.",[1244],160,storyverses,open,0,Cycle,102,viewable,true,23,,false,,,normal,false,true,2024-09-30 16:38:40,false,1269,described_at_URL,Please document the nature of this detail type (field)) ...,freetext,"Described at webpage.<br>Property <a target=\""_blank\"" href=\""https://www.wikidata.org/wiki/Property:P973\"">P973</a>",,,open,0,semantic_reference_uri,1269,1,0,,[],[],,true,viewable,2024-10-15 11:23:11,false,,,,,,
References,,3,3874,102,1284,reference_notes,Brief notes about a reference and/or citation that should eventually be added to the database and linked to this record.,,8,100,3,,0,,,optional,public,open,open,0,,0,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 17:49:22,0,,false,102,storyverse,0,"A grouping of literary works with a shared cast of characters; e.g. the cycle des Lorrains, represented as texts by the songs of Garin, Hervis,… Or the Avengers, if you like comic books.",[1244],160,storyverses,open,0,Cycle,102,viewable,true,23,,false,,,normal,false,true,2024-09-30 16:38:40,false,1284,reference_notes,Please document the nature of this detail type (field)) ...,freetext,Brief notes about a reference and/or citation that should eventually be added to the database and linked to this record.,,,open,0,reference_notes,1284,1,0,,[],[],,true,viewable,2024-09-04 14:17:54,false,,,,,,
Review,Status of record\'s review,4,3473,102,58,Review,Status of record\'s review,,9,100,3,tabs,0,,,optional,viewable,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 17:49:17,0,,false,102,storyverse,0,"A grouping of literary works with a shared cast of characters; e.g. the cycle des Lorrains, represented as texts by the songs of Garin, Hervis,… Or the Avengers, if you like comic books.",[1244],160,storyverses,open,0,Cycle,102,viewable,true,23,,false,,,normal,false,true,2024-09-30 16:38:40,false,58,Header 2,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 2,58,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
