sec,secHelpText,group_id,rst_ID,rst_RecTypeID,rst_DetailTypeID,rst_DisplayName,rst_DisplayHelpText,rst_DisplayExtendedDescription,rst_DisplayOrder,rst_DisplayWidth,rst_DisplayHeight,rst_DefaultValue,rst_RecordMatchOrder,rst_CalcFunctionID,rst_CalcFieldMask,rst_RequirementType,rst_NonOwnerVisibility,rst_Status,rst_MayModify,rst_OriginatingDBID,rst_IDInOriginatingDB,rst_MaxValues,rst_MinValues,rst_InitialRepeats,rst_DisplayDetailTypeGroupID,rst_FilteredJsonTermIDTree,rst_PtrFilteredIDs,rst_CreateChildIfRecPtr,rst_PointerMode,rst_PointerBrowseFilter,rst_OrderForThumbnailGeneration,rst_TermIDTreeNonSelectableIDs,rst_ShowDetailCertainty,rst_ShowDetailAnnotation,rst_NumericLargestValueUsed,rst_EntryMask,rst_Modified,rst_LocallyModified,rst_SemanticReferenceURL,rst_TermsAsButtons,rty_ID,rty_Name,rty_OrderInGroup,rty_Description,rty_TitleMask,rty_CanonicalTitleMask,rty_Plural,rty_Status,rty_OriginatingDBID,rty_NameInOriginatingDB,rty_IDInOriginatingDB,rty_NonOwnerVisibility,rty_ShowInLists,rty_RecTypeGroupID,rty_RecTypeModelIDs,rty_FlagAsFieldset,rty_ReferenceURL,rty_AlternativeRecEditor,rty_Type,rty_ShowURLOnEditForm,rty_ShowDescriptionOnEditForm,rty_Modified,rty_LocallyModified,dty_ID,dty_Name,dty_Documentation,dty_Type,dty_HelpText,dty_ExtendedDescription,dty_EntryMask,dty_Status,dty_OriginatingDBID,dty_NameInOriginatingDB,dty_IDInOriginatingDB,dty_DetailTypeGroupID,dty_OrderInGroup,dty_JsonTermIDTree,dty_TermIDTreeNonSelectableIDs,dty_PtrTargetRectypeIDs,dty_FieldSetRectypeID,dty_ShowInLists,dty_NonOwnerVisibility,dty_Modified,dty_LocallyModified,dty_SemanticReferenceURL,trm_TreeID,trm_Label,trm_Description,n_vocabTerms,vocabTerms
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3312,101,57,Label Components,Data fields that also help human users search for and recognize this record in the database.,,0,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-08-29 10:01:19,0,,false,101,text,0,"Formulation of a work in human language, whose literary form and style can be detected and whose creation can be attributed to one or more individuals.","[[[1101.term]]] [1090] [1288.2-18] [1288.2-1], \n \""[1244]\"" ([1265] [1165.term] [1167.term], \n[1285])",160,texts,open,0,chanson,101,viewable,true,23,,false,,,normal,false,true,2025-04-03 12:27:58,false,57,Header 1,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 1,57,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3687,101,1244,preferred_name,Received or primary name by which the entity is known.,,1,100,3,,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-08-28 14:58:47,0,,false,101,text,0,"Formulation of a work in human language, whose literary form and style can be detected and whose creation can be attributed to one or more individuals.","[[[1101.term]]] [1090] [1288.2-18] [1288.2-1], \n \""[1244]\"" ([1265] [1165.term] [1167.term], \n[1285])",160,texts,open,0,chanson,101,viewable,true,23,,false,,,normal,false,true,2025-04-03 12:27:58,false,1244,preferred_name,Please document the nature of this detail type (field)) ...,freetext,Received or primary name by which the entity is known.,,,open,0,preferred_name,1244,1,0,,[],[],,true,viewable,2024-08-27 15:57:52,false,,,,,,
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3320,101,1090,language,Spoken language through which the entity is primarily expressed.,,2,100,3,,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-01 11:33:37,0,,false,101,text,0,"Formulation of a work in human language, whose literary form and style can be detected and whose creation can be attributed to one or more individuals.","[[[1101.term]]] [1090] [1288.2-18] [1288.2-1], \n \""[1244]\"" ([1265] [1165.term] [1167.term], \n[1285])",160,texts,open,0,chanson,101,viewable,true,23,,false,,,normal,false,true,2025-04-03 12:27:58,false,1090,language,Please document the nature of this detail type (field)) ...,enum,Spoken language through which the entity is primarily expressed.,,,open,0,language,1090,1,0,9469,[],[],,true,viewable,2024-08-28 14:59:27,false,,9469,Language,"A spoken language, through which a literary work is articulated into words.",24,"{'fro (Old French)'={'description': Old French, 'url': 'https://iso639-3.sil.org/code/fro', 'id': 9470}, 'pro (Occitan)'={'description': 'Old Occitan, Provençal', 'url': 'https://iso639-3.sil.org/code/pro', 'id': 9471}, 'fro_ENG (Anglo-Norman)'={'description': Anglo-Norman, 'url': NULL, 'id': 9472}, 'fro_ITA (Franco-Italian)'={'description': Franco-italian, 'url': NULL, 'id': 9473}, 'fro_PRO (Franco-Occitan)'={'description': Franco-Occitan, 'url': NULL, 'id': 9474}, 'frm (Middle French)'={'description': Middle French, 'url': 'https://iso639-3.sil.org/code/frm', 'id': 9557}, 'cat (Catalan)'={'description': Catalan, 'url': 'https://iso639-3.sil.org/code/cat', 'id': 9727}, 'dum (Middle Dutch)'={'description': Middle Dutch, 'url': 'https://iso639-3.sil.org/code/dum', 'id': 9728}, 'enm (Middle English)'={'description': Middle English, 'url': 'https://iso639-3.sil.org/code/enm', 'id': 9729}, 'ghg (Early Modern Irish)'={'description': 'Early Modern Irish, Hiberno-Scottish Gaelic', 'url': 'https://iso639-3.sil.org/code/ghg', 'id': 9732}, 'glg (Galician)'={'description': Galician, 'url': 'https://iso639-3.sil.org/code/glg', 'id': 9733}, 'glg_POR (Galician-Portugese)'={'description': Galician-Portugese, 'url': NULL, 'id': 9734}, 'gmh (Middle High German)'={'description': Middle High German, 'url': 'https://iso639-3.sil.org/code/gmh', 'id': 9735}, 'gml (Middle Low German)'={'description': Middle Low German, 'url': 'https://iso639-3.sil.org/code/gml', 'id': 9736}, 'ita (Italian)'={'description': Italian, 'url': 'https://iso639-3.sil.org/code/ita', 'id': 9738}, 'mga (Middle Irish)'={'description': Middle Irish, 'url': 'https://iso639-3.sil.org/code/mga', 'id': 9739}, 'non_WEST (West Old Norse)'={'description': West Old Norse, 'url': 'https://iso639-3.sil.org/code/non', 'id': 9740}, 'non_EAST (East Old Norse)'={'description': East Old Norse, 'url': NULL, 'id': 9741}, 'por (Portugese)'={'description': Portugese, 'url': 'https://iso639-3.sil.org/code/por', 'id': 9744}, 'spa (Spanish)'={'description': Spanish or Castilian, 'url': 'https://iso639-3.sil.org/code/spa', 'id': 9745}, 'wlm (Middle Welsh)'={'description': Middle Welsh, 'url': 'https://iso639-3.sil.org/code/wlm', 'id': 9746}, 'frp (Franco-Provençal)'={'description': Franco-provençal, 'url': NULL, 'id': 9838}, 'lat (Latin)'={'description': Latin, 'url': 'https://iso639-3.sil.org/code/lat', 'id': 9839}, 'sga (Old Irish)'={'description': Old Irish, 'url': 'https://iso639-3.sil.org/code/sga', 'id': 9842}}"
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3688,101,1265,literary_form,"Overall form of the literary style (verse, prose, mixed).",,3,100,3,,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-27 10:41:23,0,,true,101,text,0,"Formulation of a work in human language, whose literary form and style can be detected and whose creation can be attributed to one or more individuals.","[[[1101.term]]] [1090] [1288.2-18] [1288.2-1], \n \""[1244]\"" ([1265] [1165.term] [1167.term], \n[1285])",160,texts,open,0,chanson,101,viewable,true,23,,false,,,normal,false,true,2025-04-03 12:27:58,false,1265,literary_form,Please document the nature of this detail type (field)) ...,enum,"Overall form of the literary style (verse, prose, mixed).",,,open,0,literary_form,1265,1,0,9548,[],[],,true,viewable,2024-08-28 15:00:55,false,,9548,Form,Literary form of the creative work.,4,"{verse={'description': NULL, 'url': NULL, 'id': 9549}, prose={'description': NULL, 'url': NULL, 'id': 9550}, mixed={'description': NULL, 'url': NULL, 'id': 9551}, unknown={'description': 'The form is unknown because all manifestations (Witnesses) of the text are lost and there is no hypothesis about whether the text is in verse, prose, or both.', 'url': NULL, 'id': 9726}}"
Hypothesis,"Data fields concerned with hypotheses related to this entity, either because the entity itself is hypothetical or because it is related to hypothetical entities.",2,3689,101,81,Hypothesis,"Data fields concerned with hypotheses related to this entity, either because the entity itself is hypothetical or because it is related to hypothetical entities.",,4,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-08-29 10:02:29,0,,false,101,text,0,"Formulation of a work in human language, whose literary form and style can be detected and whose creation can be attributed to one or more individuals.","[[[1101.term]]] [1090] [1288.2-18] [1288.2-1], \n \""[1244]\"" ([1265] [1165.term] [1167.term], \n[1285])",160,texts,open,0,chanson,101,viewable,true,23,,false,,,normal,false,true,2025-04-03 12:27:58,false,81,Header 8,Please document the nature of this detail type (field)) ...,separator, ,,,open,3,HEADING 3,1056,139,0,,[],[],0,false,viewable,2021-12-31 05:59:49,true,,,,,,
Hypothesis,"Data fields concerned with hypotheses related to this entity, either because the entity itself is hypothetical or because it is related to hypothetical entities.",2,3690,101,1266,is_hypothetical,"Whether it is received as fact that the entity existed (No, is not hypothetical) or it is attested in a hypothesis (Yes, is hypothetical).",,5,100,3,9483,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-10-01 11:02:07,0,,true,101,text,0,"Formulation of a work in human language, whose literary form and style can be detected and whose creation can be attributed to one or more individuals.","[[[1101.term]]] [1090] [1288.2-18] [1288.2-1], \n \""[1244]\"" ([1265] [1165.term] [1167.term], \n[1285])",160,texts,open,0,chanson,101,viewable,true,23,,false,,,normal,false,true,2025-04-03 12:27:58,false,1266,is_unobserved,Please document the nature of this detail type (field)) ...,enum,Whether the entity is attested (True) in a hypothesis or whether it is received as fact that it exists or existed (False).,,,open,0,is_hypothetical,1266,1,0,9481,[],[],,true,viewable,2024-10-01 14:56:27,false,,9481,yes/no/maybe vocab,,4,"{Yes={'description': NULL, 'url': NULL, 'id': 9482}, No={'description': NULL, 'url': NULL, 'id': 9483}, Maybe={'description': NULL, 'url': NULL, 'id': 9484}, unknown={'description': The information is not ready to be input., 'url': NULL, 'id': 9770}}"
Hypothesis,"Data fields concerned with hypotheses related to this entity, either because the entity itself is hypothetical or because it is related to hypothetical entities.",2,3793,101,1294,claim_freetext,"<b>[Temporary]</b><br>Brief note about the hypothesis that attests to this record\'s existence.<br>The note is meant to temporarily store information that will eventually be entered into a Hypothesis entity, which should be linked back to this record.",,6,40,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 13:26:56,0,,false,101,text,0,"Formulation of a work in human language, whose literary form and style can be detected and whose creation can be attributed to one or more individuals.","[[[1101.term]]] [1090] [1288.2-18] [1288.2-1], \n \""[1244]\"" ([1265] [1165.term] [1167.term], \n[1285])",160,texts,open,0,chanson,101,viewable,true,23,,false,,,normal,false,true,2025-04-03 12:27:58,false,1294,claim_freetext,Please document the nature of this detail type (field)) ...,blocktext,"<b>[Temporary]</b><br>Brief note about the hypothesis that attests to this record\'s existence. This information is meant to be a temporary note that will eventually be entered into a Hypothesis entity, which should be linked back to this record.",,,open,0,claim_freetext,1294,1,0,,[],[],,true,viewable,2024-09-05 13:26:12,false,,,,,,
Description,Data fields about the general description of the entity.,3,3313,101,58,Description,Data fields about the general description of the entity.,,7,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 13:26:13,0,,false,101,text,0,"Formulation of a work in human language, whose literary form and style can be detected and whose creation can be attributed to one or more individuals.","[[[1101.term]]] [1090] [1288.2-18] [1288.2-1], \n \""[1244]\"" ([1265] [1165.term] [1167.term], \n[1285])",160,texts,open,0,chanson,101,viewable,true,23,,false,,,normal,false,true,2025-04-03 12:27:58,false,58,Header 2,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 2,58,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Description,Data fields about the general description of the entity.,3,3691,101,132,alternative_names,"Alternative names or titles, use for simple alternatives where additional metadata is not needed",,8,100,3,,0,,,recommended,public,open,open,0,,0,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 13:26:13,0,,false,101,text,0,"Formulation of a work in human language, whose literary form and style can be detected and whose creation can be attributed to one or more individuals.","[[[1101.term]]] [1090] [1288.2-18] [1288.2-1], \n \""[1244]\"" ([1265] [1165.term] [1167.term], \n[1285])",160,texts,open,0,chanson,101,viewable,true,23,,false,,,normal,false,true,2025-04-03 12:27:58,false,132,alternative_names,,freetext,"Alternative names or titles, use for simple alternatives where additional metadata is not needed.",,,open,3,Title - alternate,1009,1,0,,[],[],0,true,viewable,2024-09-24 11:33:39,true,,,,,,
Description,Data fields about the general description of the entity.,3,3333,101,1097,is_expression_of,"Realization of an abstract, creative work through words, sound, image, etc.",,9,100,3,,0,,,recommended,public,open,open,0,,0,0,1,,,,false,dropdown_add,,,,false,false,,,2025-02-22 10:13:19,0,https://www.wikidata.org/wiki/Property:P6524,false,101,text,0,"Formulation of a work in human language, whose literary form and style can be detected and whose creation can be attributed to one or more individuals.","[[[1101.term]]] [1090] [1288.2-18] [1288.2-1], \n \""[1244]\"" ([1265] [1165.term] [1167.term], \n[1285])",160,texts,open,0,chanson,101,viewable,true,23,,false,,,normal,false,true,2025-04-03 12:27:58,false,1097,is_expression_of,Please document the nature of this detail type (field)) ...,resource,"Realization of an abstract, creative work through words, sound, image, etc.",,,open,0,Geste,1097,1,0,,[],[103],,true,viewable,2024-08-28 15:06:17,false,,,,,,
